,GBPUSD
2019-01-16,1.2827
2019-01-15,1.2756
2019-01-14,1.2821
2019-01-11,1.2717
2019-01-10,1.2731
2019-01-09,1.2718
2019-01-08,1.2715
2019-01-07,1.2724
2019-01-04,1.2618
2019-01-03,1.2519
2019-01-02,1.2585
2019-01-01,1.2715
2018-12-31,1.2682
2018-12-28,1.2636
2018-12-27,1.2619
2018-12-26,1.2665
2018-12-25,1.2668
2018-12-24,1.2637
2018-12-21,1.2634
2018-12-20,1.2615
2018-12-19,1.2608
2018-12-18,1.2612
2018-12-17,1.2576
2018-12-14,1.2535
2018-12-13,1.2611
2018-12-12,1.2481
2018-12-11,1.2504
2018-12-10,1.2513
2018-12-07,1.2734
2018-12-06,1.2700
2018-12-05,1.2673
2018-12-04,1.2717
2018-12-03,1.2700
2018-11-30,1.2737
2018-11-29,1.2757
2018-11-28,1.2734
2018-11-27,1.2727
2018-11-26,1.2798
2018-11-23,1.2801
2018-11-22,1.2774
2018-11-21,1.2775
2018-11-20,1.2804
2018-11-19,1.2805
2018-11-16,1.2766
2018-11-15,1.2745
2018-11-14,1.2893
2018-11-13,1.2853
2018-11-12,1.2828
2018-11-09,1.2974
2018-11-08,1.3089
2018-11-07,1.3076
2018-11-06,1.3024
2018-11-05,1.2967
2018-11-02,1.2962
2018-11-01,1.2765
2018-10-31,1.2702
2018-10-30,1.2731
2018-10-29,1.2801
2018-10-26,1.2779
2018-10-25,1.2812
2018-10-24,1.2891
2018-10-23,1.2940
2018-10-22,1.2961
2018-10-19,1.3013
2018-10-18,1.3058
2018-10-17,1.3102
2018-10-16,1.3143
2018-10-15,1.3103
2018-10-12,1.3152
2018-10-11,1.3185
2018-10-10,1.3138
2018-10-09,1.3035
2018-10-08,1.3030
2018-10-05,1.3006
2018-10-04,1.2925
2018-10-03,1.2965
2018-10-02,1.2944
2018-10-01,1.3014
2018-09-28,1.3003
2018-09-27,1.3097
2018-09-26,1.3141
2018-09-25,1.3097
2018-09-24,1.3065
2018-09-21,1.3058
2018-09-20,1.3140
2018-09-19,1.3120
2018-09-18,1.3121
2018-09-17,1.3070
2018-09-14,1.3074
2018-09-13,1.3028
2018-09-12,1.2984
2018-09-11,1.2977
2018-09-10,1.2898
2018-09-07,1.2919
2018-09-06,1.2897
2018-09-05,1.2793
2018-09-04,1.2814
2018-09-03,1.2856
2018-08-31,1.2962
2018-08-30,1.2990
2018-08-29,1.2846
2018-08-28,1.2863
2018-08-27,1.2830
2018-08-24,1.2801
2018-08-23,1.2818
2018-08-22,1.2872
2018-08-21,1.2800
2018-08-20,1.2730
2018-08-17,1.2700
2018-08-16,1.2689
2018-08-15,1.2663
2018-08-14,1.2735
2018-08-13,1.2733
2018-08-10,1.2726
2018-08-09,1.2844
2018-08-08,1.2855
2018-08-07,1.2938
2018-08-06,1.2921
2018-08-03,1.2976
2018-08-02,1.3019
2018-08-01,1.3098
2018-07-31,1.3095
2018-07-30,1.3099
2018-07-27,1.3084
2018-07-26,1.3116
2018-07-25,1.3134
2018-07-24,1.3074
2018-07-23,1.3099
2018-07-20,1.2998
2018-07-19,1.2959
2018-07-18,1.3012
2018-07-17,1.3146
2018-07-16,1.3224
2018-07-13,1.3104
2018-07-12,1.3182
2018-07-11,1.3231
2018-07-10,1.3227
2018-07-09,1.3210
2018-07-06,1.3205
2018-07-05,1.3206
2018-07-04,1.3173
2018-07-03,1.3118
