,BGI
2018-11-13,1.2400
2018-11-12,1.2500
2018-11-09,1.2000
2018-11-08,1.3400
2018-11-07,1.3000
2018-11-06,1.2900
2018-11-05,1.2200
2018-11-02,1.1700
2018-11-01,1.1700
2018-10-31,1.2000
2018-10-30,1.1500
2018-10-29,1.1700
2018-10-26,1.2100
2018-10-25,1.2500
2018-10-24,1.2000
2018-10-23,1.1900
2018-10-22,1.2200
2018-10-19,1.2100
2018-10-18,1.2500
2018-10-17,1.2200
2018-10-16,1.2100
2018-10-15,1.2100
2018-10-12,1.2100
2018-10-11,1.2200
2018-10-10,1.2200
2018-10-09,1.2300
2018-10-08,1.2400
2018-10-05,1.2500
2018-10-04,1.2500
2018-10-03,1.2500
2018-10-02,1.2500
2018-10-01,1.2700
2018-09-28,1.2100
2018-09-27,1.2500
2018-09-26,1.3000
2018-09-25,1.3000
2018-09-24,1.2700
2018-09-21,1.2600
2018-09-20,1.2500
2018-09-19,1.2200
2018-09-18,1.2800
2018-09-17,1.2700
2018-09-14,1.3100
2018-09-13,1.1800
2018-09-12,1.3300
2018-09-11,1.3000
2018-09-10,1.2000
2018-09-07,1.2200
2018-09-06,1.2400
2018-09-05,1.3500
2018-09-04,1.3600
2018-08-31,1.4200
2018-08-30,1.4800
2018-08-29,1.5200
2018-08-28,1.5800
2018-08-27,1.5800
2018-08-24,1.5400
2018-08-23,1.6200
2018-08-22,1.6200
2018-08-21,1.5900
2018-08-20,1.5400
2018-08-17,1.5000
2018-08-16,1.5000
2018-08-15,1.4900
2018-08-14,1.5100
2018-08-13,1.5100
2018-08-10,1.4900
2018-08-09,1.4400
2018-08-08,1.4600
2018-08-07,1.4500
2018-08-06,1.5300
2018-08-03,1.5400
2018-08-02,1.4000
2018-08-01,1.5100
2018-07-31,1.5300
2018-07-30,1.5200
2018-07-27,1.5000
2018-07-26,1.5000
2018-07-25,1.6000
2018-07-24,1.4900
2018-07-23,1.4900
2018-07-20,1.4200
2018-07-19,1.4400
2018-07-18,1.3900
2018-07-17,1.4300
2018-07-16,1.4300
2018-07-13,1.3700
2018-07-12,1.3200
2018-07-11,1.2900
2018-07-10,1.2500
2018-07-09,1.1900
2018-07-06,1.1700
2018-07-05,1.1600
2018-07-03,1.3000
