,SGD
2018-07-31,1.3601
2018-07-30,1.3600
2018-07-27,1.3600
2018-07-26,1.3568
2018-07-25,1.3603
2018-07-24,1.3620
2018-07-23,1.3590
2018-07-20,1.3624
2018-07-19,1.3640
2018-07-18,1.3641
2018-07-17,1.3584
2018-07-16,1.3604
2018-07-13,1.3616
2018-07-12,1.3605
2018-07-11,1.3576
2018-07-10,1.3530
2018-07-09,1.3522
2018-07-06,1.3576
2018-07-05,1.3626
2018-07-04,1.3607
2018-07-03,1.3640
