,DKS
2022-05-05,96.22
2022-05-04,96.92
2022-05-03,98.48
2022-05-02,95.05
2022-04-29,96.24
2022-04-28,97.10
2022-04-27,95.29
2022-04-26,97.09
2022-04-25,97.89
2022-04-22,98.96
2022-04-21,102.18
2022-04-20,107.36
2022-04-19,101.45
2022-04-18,100.24
2022-04-14,104.52
2022-04-13,105.05
2022-04-12,105.52
2022-04-11,104.24
2022-04-08,99.88
2022-04-07,95.47
2022-04-06,95.70
2022-04-05,98.71
2022-04-04,100.19
2022-04-01,99.39
2022-03-31,100.02
2022-03-30,104.65
2022-03-29,107.44
2022-03-28,105.50
2022-03-25,105.70
2022-03-24,105.11
2022-03-23,106.13
2022-03-22,107.11
2022-03-21,108.17
2022-03-18,109.03
2022-03-17,108.44
2022-03-16,107.04
2022-03-15,106.36
2022-03-14,106.48
2022-03-11,107.29
2022-03-10,104.88
2022-03-09,104.83
2022-03-08,99.20
2022-03-07,99.19
2022-03-04,107.61
2022-03-03,109.77
2022-03-02,104.30
2022-03-01,103.01
2022-02-28,101.50
2022-02-25,97.05
2022-02-24,92.31
2022-02-23,97.12
2022-02-22,99.34
2022-02-18,102.00
2022-02-17,104.63
2022-02-16,108.11
2022-02-15,111.01
2022-02-14,108.88
2022-02-11,110.86
2022-02-10,113.76
2022-02-09,114.38
2022-02-08,111.18
2022-02-07,111.21
2022-02-04,108.46
2022-02-03,111.42
2022-02-02,114.38
2022-02-01,115.57
2022-01-31,113.21
2022-01-28,108.91
2022-01-27,111.28
2022-01-26,113.09
2022-01-25,113.17
2022-01-24,104.77
2022-01-21,108.06
2022-01-20,110.22
2022-01-19,114.25
2022-01-18,108.14
2022-01-14,110.37
2022-01-13,113.36
2022-01-12,113.60
2022-01-11,108.92
2022-01-10,104.07
2022-01-07,106.51
2022-01-06,106.80
2022-01-05,106.40
2022-01-04,110.51
2022-01-03,114.41
2021-12-31,111.00
2021-12-30,110.20
2021-12-29,107.08
2021-12-28,106.30
2021-12-27,102.90
2021-12-23,102.12
2021-12-22,102.26
2021-12-21,102.92
2021-12-20,99.28
2021-12-17,101.21
2021-12-16,99.55
2021-12-15,103.00
2021-12-14,103.54
2021-12-13,102.60
2021-12-10,111.14
2021-12-09,112.38
2021-12-08,109.19
2021-12-07,108.55
2021-12-06,105.69
2021-12-03,107.90
2021-12-02,113.33
2021-12-01,114.46
2021-11-30,116.88
2021-11-29,122.40
2021-11-26,123.56
2021-11-24,126.50
2021-11-23,123.30
2021-11-22,137.26
2021-11-19,136.42
2021-11-18,136.75
2021-11-17,132.91
2021-11-16,133.23
2021-11-15,131.92
2021-11-12,130.10
2021-11-11,129.88
2021-11-10,127.76
2021-11-09,130.40
2021-11-08,129.60
2021-11-05,128.37
2021-11-04,128.85
2021-11-03,127.52
2021-11-02,121.54
2021-11-01,119.43
2021-10-29,121.88
2021-10-28,121.93
2021-10-27,121.32
2021-10-26,123.50
2021-10-25,124.17
2021-10-22,123.34
2021-10-21,120.56
2021-10-20,118.86
2021-10-19,120.18
2021-10-18,119.15
2021-10-15,119.53
2021-10-14,118.25
2021-10-13,115.09
2021-10-12,112.84
2021-10-11,113.24
2021-10-08,115.79
2021-10-07,119.74
2021-10-06,114.96
2021-10-05,117.86
2021-10-04,118.55
2021-10-01,117.55
2021-09-30,119.73
2021-09-29,126.90
2021-09-28,127.83
2021-09-27,130.40
2021-09-24,128.88
2021-09-23,134.78
2021-09-22,132.62
2021-09-21,131.19
2021-09-20,129.77
2021-09-17,132.19
2021-09-16,133.02
2021-09-15,130.21
2021-09-14,129.52
2021-09-13,128.51
2021-09-10,131.34
2021-09-09,125.38
2021-09-08,133.92
2021-09-07,139.11
2021-09-03,141.22
2021-09-02,142.02
2021-09-01,139.46
2021-08-31,137.86
2021-08-30,137.84
2021-08-27,133.36
2021-08-26,128.32
2021-08-25,128.80
2021-08-24,111.90
2021-08-23,110.54
2021-08-20,106.51
2021-08-19,102.77
2021-08-18,105.44
2021-08-17,105.24
2021-08-16,107.58
2021-08-13,108.51
2021-08-12,107.85
2021-08-11,106.62
2021-08-10,106.40
2021-08-09,106.09
2021-08-06,106.65
2021-08-05,105.19
2021-08-04,104.07
2021-08-03,104.28
2021-08-02,104.18
2021-07-30,103.38
2021-07-29,103.63
2021-07-28,101.72
2021-07-27,100.87
2021-07-26,103.65
2021-07-23,101.89
2021-07-22,99.70
2021-07-21,98.90
2021-07-20,94.50
2021-07-19,91.48
2021-07-16,95.07
2021-07-15,97.37
2021-07-14,100.64
2021-07-13,99.34
2021-07-12,99.76
2021-07-09,98.90
2021-07-08,94.38
2021-07-07,95.66
2021-07-06,95.64
2021-07-02,99.43
2021-07-01,99.85
2021-06-30,97.49
2021-06-29,99.93
2021-06-28,98.14
2021-06-25,99.52
2021-06-24,97.42
2021-06-23,96.67
2021-06-22,94.77
2021-06-21,92.30
2021-06-18,90.14
2021-06-17,89.21
2021-06-16,91.93
2021-06-15,93.91
2021-06-14,97.37
2021-06-11,97.47
2021-06-10,96.85
2021-06-09,98.67
2021-06-08,96.48
2021-06-07,96.78
2021-06-04,94.92
2021-06-03,94.55
2021-06-02,95.20
2021-06-01,97.07
2021-05-28,96.35
2021-05-27,97.01
2021-05-26,91.37
2021-05-25,84.08
2021-05-24,83.53
2021-05-21,83.21
2021-05-20,82.81
2021-05-19,83.05
2021-05-18,86.88
2021-05-17,87.09
2021-05-14,85.12
2021-05-13,84.00
2021-05-12,82.96
2021-05-11,85.16
2021-05-10,88.97
2021-05-07,86.74
2021-05-06,86.45
2021-05-05,86.38
2021-05-04,83.75
2021-05-03,83.56
2021-04-30,80.42
2021-04-29,82.02
2021-04-28,82.34
2021-04-27,83.59
2021-04-26,82.91
2021-04-23,84.58
2021-04-22,83.48
2021-04-21,82.51
2021-04-20,81.34
2021-04-19,83.62
2021-04-16,81.87
2021-04-15,80.70
2021-04-14,81.48
2021-04-13,81.09
2021-04-12,81.38
2021-04-09,81.85
2021-04-08,80.16
2021-04-07,80.33
2021-04-06,81.12
2021-04-05,78.17
2021-04-01,76.67
2021-03-31,75.04
2021-03-30,74.28
2021-03-29,74.42
2021-03-26,76.50
2021-03-25,72.13
2021-03-24,73.39
2021-03-23,74.78
2021-03-22,77.79
2021-03-19,76.66
2021-03-18,77.03
2021-03-17,76.35
2021-03-16,75.21
2021-03-15,75.53
2021-03-12,72.56
2021-03-11,70.83
2021-03-10,69.78
2021-03-09,70.67
2021-03-08,72.85
2021-03-05,66.76
2021-03-04,68.19
2021-03-03,72.34
2021-03-02,72.92
2021-03-01,72.23
2021-02-26,70.83
2021-02-25,72.84
2021-02-24,72.66
2021-02-23,70.25
2021-02-22,73.98
2021-02-19,73.26
2021-02-18,71.19
2021-02-17,72.15
2021-02-16,73.08
2021-02-12,74.54
2021-02-11,76.00
2021-02-10,76.04
2021-02-09,76.38
2021-02-08,76.03
2021-02-05,73.24
2021-02-04,72.88
2021-02-03,69.98
2021-02-02,67.67
2021-02-01,66.85
2021-01-29,66.71
2021-01-28,67.18
2021-01-27,67.04
2021-01-26,66.69
2021-01-25,68.00
2021-01-22,65.77
2021-01-21,67.58
2021-01-20,66.28
2021-01-19,64.20
2021-01-15,64.94
2021-01-14,65.91
2021-01-13,65.73
2021-01-12,65.08
2021-01-11,63.50
2021-01-08,62.29
2021-01-07,61.81
2021-01-06,58.62
2021-01-05,55.75
2021-01-04,55.10
2020-12-31,55.70
2020-12-30,55.94
2020-12-29,55.15
2020-12-28,55.61
2020-12-24,54.96
2020-12-23,55.38
2020-12-22,53.63
2020-12-21,51.69
2020-12-18,51.82
2020-12-17,52.10
2020-12-16,52.12
2020-12-15,51.51
2020-12-14,52.57
2020-12-11,52.84
2020-12-10,53.14
2020-12-09,53.59
2020-12-08,55.10
2020-12-07,53.96
2020-12-04,55.80
2020-12-03,56.60
2020-12-02,55.51
2020-12-01,55.90
2020-11-30,56.72
2020-11-27,59.01
2020-11-25,57.34
2020-11-24,55.72
2020-11-23,58.38
2020-11-20,56.74
2020-11-19,54.20
2020-11-18,53.33
2020-11-17,51.78
2020-11-16,51.14
2020-11-13,50.88
2020-11-12,51.14
2020-11-11,51.72
2020-11-10,52.09
2020-11-09,52.47
2020-11-06,55.76
2020-11-05,56.54
2020-11-04,56.53
2020-11-03,56.63
2020-11-02,55.63
2020-10-30,55.64
2020-10-29,55.35
2020-10-28,55.70
2020-10-27,57.06
2020-10-26,57.24
2020-10-23,57.92
2020-10-22,58.97
2020-10-21,59.85
2020-10-20,60.41
2020-10-19,60.94
2020-10-16,61.39
2020-10-15,61.45
2020-10-14,60.75
2020-10-13,60.41
2020-10-12,60.17
2020-10-09,60.59
2020-10-08,60.68
2020-10-07,60.56
2020-10-06,59.32
2020-10-05,60.25
2020-10-02,58.14
2020-10-01,58.21
2020-09-30,57.09
2020-09-29,56.94
2020-09-28,56.69
2020-09-25,55.13
2020-09-24,54.24
2020-09-23,56.39
2020-09-22,55.80
2020-09-21,55.69
2020-09-18,57.64
2020-09-17,57.00
2020-09-16,57.43
2020-09-15,56.86
2020-09-14,56.77
2020-09-11,55.67
2020-09-10,55.81
2020-09-09,54.68
2020-09-08,53.40
2020-09-04,53.32
2020-09-03,54.32
2020-09-02,54.71
2020-09-01,53.56
2020-08-31,52.78
2020-08-28,53.08
2020-08-27,52.89
2020-08-26,50.47
2020-08-25,45.57
2020-08-24,46.01
2020-08-21,45.45
2020-08-20,45.00
2020-08-19,44.50
2020-08-18,44.38
2020-08-17,45.36
2020-08-14,45.46
2020-08-13,45.36
2020-08-12,45.16
2020-08-11,46.70
2020-08-10,45.89
2020-08-07,45.07
2020-08-06,45.48
2020-08-05,46.10
2020-08-04,44.42
2020-08-03,44.44
2020-07-31,45.15
2020-07-30,45.88
2020-07-29,45.49
2020-07-28,45.10
2020-07-27,44.40
2020-07-24,43.60
2020-07-23,43.55
2020-07-22,42.56
2020-07-21,41.85
2020-07-20,39.74
2020-07-17,40.88
2020-07-16,40.09
2020-07-15,38.78
2020-07-14,37.68
2020-07-13,38.74
2020-07-10,38.82
2020-07-09,37.96
2020-07-08,39.36
2020-07-07,39.73
2020-07-06,40.66
2020-07-02,40.20
2020-07-01,40.19
2020-06-30,41.01
2020-06-29,39.86
2020-06-26,39.42
2020-06-25,39.74
2020-06-24,39.84
2020-06-23,40.73
2020-06-22,39.00
2020-06-19,39.24
2020-06-18,39.86
2020-06-17,40.30
2020-06-16,39.93
2020-06-15,37.70
2020-06-12,37.71
2020-06-11,34.66
2020-06-10,37.74
2020-06-09,38.33
2020-06-08,38.72
2020-06-05,37.78
2020-06-04,35.72
2020-06-03,36.56
2020-06-02,36.03
2020-06-01,35.50
2020-05-29,33.91
2020-05-28,34.68
2020-05-27,34.45
2020-05-26,33.66
2020-05-22,30.43
2020-05-21,28.99
2020-05-20,28.91
2020-05-19,28.78
2020-05-18,29.20
2020-05-15,26.57
2020-05-14,25.59
2020-05-13,26.44
2020-05-12,28.35
2020-05-11,29.04
2020-05-08,28.30
2020-05-07,27.68
2020-05-06,27.06
2020-05-05,27.16
2020-05-04,25.95
2020-05-01,26.81
2020-04-30,29.34
2020-04-29,30.20
2020-04-28,28.37
2020-04-27,27.46
2020-04-24,25.86
2020-04-23,25.18
2020-04-22,25.57
2020-04-21,25.52
2020-04-20,25.42
2020-04-17,25.09
2020-04-16,24.13
2020-04-15,24.86
2020-04-14,22.80
2020-04-13,24.58
2020-04-09,26.08
2020-04-08,23.91
2020-04-07,23.49
2020-04-06,19.02
2020-04-03,17.52
2020-04-02,17.66
2020-04-01,17.67
