,ASCCF
2022-05-05,16.70
2022-05-04,16.70
2022-05-03,16.70
2022-05-02,16.70
2022-04-29,16.70
2022-04-28,16.70
2022-04-27,16.70
2022-04-26,16.70
2022-04-25,16.70
2022-04-22,16.70
2022-04-21,16.67
2022-04-20,16.67
2022-04-19,16.67
2022-04-18,16.67
2022-04-14,16.67
2022-04-13,16.67
2022-04-12,16.32
2022-04-11,17.50
2022-04-08,18.50
2022-04-07,18.50
2022-04-06,18.50
2022-04-05,18.50
2022-04-04,18.50
2022-04-01,18.50
2022-03-31,18.50
2022-03-30,18.50
2022-03-29,18.50
2022-03-28,18.50
2022-03-25,18.50
2022-03-24,18.50
2022-03-23,18.50
2022-03-22,18.50
2022-03-21,18.50
2022-03-18,20.57
2022-03-17,20.57
2022-03-16,20.57
2022-03-15,20.57
2022-03-14,20.57
2022-03-11,20.57
2022-03-10,20.57
2022-03-09,20.57
2022-03-08,20.57
2022-03-07,20.57
2022-03-04,20.57
2022-03-03,20.57
2022-03-02,20.57
2022-03-01,20.57
2022-02-28,20.57
2022-02-25,20.57
2022-02-24,20.57
2022-02-23,20.57
2022-02-22,20.57
2022-02-18,20.57
2022-02-17,20.57
2022-02-16,20.57
2022-02-15,20.57
2022-02-14,19.14
2022-02-11,19.14
2022-02-10,19.14
2022-02-09,19.14
2022-02-08,19.14
2022-02-07,19.14
2022-02-04,19.14
2022-02-03,19.14
2022-02-02,19.14
2022-02-01,19.14
2022-01-31,19.14
2022-01-28,19.14
2022-01-27,19.14
2022-01-26,19.14
2022-01-25,19.14
2022-01-24,18.87
2022-01-21,20.94
2022-01-20,20.94
2022-01-19,20.94
2022-01-18,20.94
2022-01-14,20.94
2022-01-13,20.94
2022-01-12,24.00
2022-01-11,24.00
2022-01-10,24.00
2022-01-07,24.00
2022-01-06,24.00
2022-01-05,24.00
2022-01-04,24.00
2022-01-03,24.00
2021-12-31,24.00
2021-12-30,24.00
2021-12-29,24.00
2021-12-28,24.00
2021-12-27,24.00
2021-12-23,24.00
2021-12-22,24.00
2021-12-21,24.00
2021-12-20,24.00
2021-12-17,24.00
2021-12-16,24.00
2021-12-15,24.00
2021-12-14,24.00
2021-12-13,24.92
2021-12-10,24.92
2021-12-09,24.92
2021-12-08,24.92
2021-12-07,24.92
2021-12-06,24.92
2021-12-03,24.92
2021-12-02,24.92
2021-12-01,24.92
2021-11-30,24.92
2021-11-29,27.00
2021-11-26,27.00
2021-11-24,27.00
2021-11-23,27.00
2021-11-22,27.00
2021-11-19,27.00
2021-11-18,27.00
2021-11-17,27.00
2021-11-16,27.00
2021-11-15,27.00
2021-11-12,27.00
2021-11-11,27.00
2021-11-10,27.00
2021-11-09,27.00
2021-11-08,27.00
2021-11-05,26.18
2021-11-04,26.10
2021-11-03,26.10
2021-11-02,26.10
2021-11-01,25.36
2021-10-29,25.14
2021-10-28,25.14
2021-10-27,23.64
2021-10-26,23.64
2021-10-25,23.64
2021-10-22,23.64
2021-10-21,23.64
2021-10-20,24.10
2021-10-19,24.10
2021-10-18,24.10
2021-10-15,24.10
2021-10-14,24.10
2021-10-13,24.10
2021-10-12,24.10
2021-10-11,24.10
2021-10-08,24.10
2021-10-07,24.10
2021-10-06,24.10
2021-10-05,24.10
2021-10-04,24.10
2021-10-01,24.10
2021-09-30,24.10
2021-09-29,24.10
2021-09-28,24.10
2021-09-27,24.10
2021-09-24,24.10
2021-09-23,24.10
2021-09-22,24.10
2021-09-21,24.10
2021-09-20,24.10
2021-09-17,24.10
2021-09-16,24.10
2021-09-15,24.10
2021-09-14,24.10
2021-09-13,24.10
2021-09-10,24.10
2021-09-09,24.10
2021-09-08,24.10
2021-09-07,23.00
2021-09-03,22.65
2021-09-02,22.65
2021-09-01,22.65
2021-08-31,22.65
2021-08-30,22.65
2021-08-27,22.65
2021-08-26,22.65
2021-08-25,22.65
2021-08-24,22.65
2021-08-23,22.65
2021-08-20,22.65
2021-08-19,22.65
2021-08-18,24.25
2021-08-17,24.25
2021-08-16,24.25
2021-08-13,22.88
2021-08-12,22.88
2021-08-11,22.88
2021-08-10,22.88
2021-08-09,22.88
2021-08-06,22.88
2021-08-05,22.25
2021-08-04,22.25
2021-08-03,22.25
2021-08-02,22.25
2021-07-30,23.75
2021-07-29,23.75
2021-07-28,23.75
2021-07-27,23.75
2021-07-26,23.75
2021-07-23,23.75
2021-07-22,23.75
2021-07-21,23.75
2021-07-20,23.75
2021-07-19,23.75
2021-07-16,23.75
2021-07-15,23.75
2021-07-14,23.75
2021-07-13,23.75
2021-07-12,23.75
2021-07-09,23.75
2021-07-08,23.75
2021-07-07,23.75
2021-07-06,23.75
2021-07-02,25.20
2021-07-01,25.20
2021-06-30,23.45
2021-06-29,23.45
2021-06-28,23.45
2021-06-25,23.45
2021-06-24,23.45
2021-06-23,23.45
2021-06-22,23.45
2021-06-21,23.45
2021-06-18,23.45
2021-06-17,23.45
2021-06-16,23.45
2021-06-15,23.45
2021-06-14,23.45
2021-06-11,23.45
2021-06-10,23.45
2021-06-09,23.45
2021-06-08,23.45
2021-06-07,23.45
2021-06-04,23.45
2021-06-03,23.45
2021-06-02,23.45
2021-06-01,23.45
2021-05-28,23.45
2021-05-27,23.45
2021-05-26,23.45
2021-05-25,16.50
2021-05-24,16.50
2021-05-21,16.50
2021-05-20,16.50
2021-05-19,16.50
2021-05-18,16.50
2021-05-17,16.50
2021-05-14,16.50
2021-05-13,16.50
2021-05-12,16.50
2021-05-11,16.50
2021-05-10,16.50
2021-05-07,16.33
2021-05-06,16.33
2021-05-05,16.32
2021-05-04,16.32
2021-05-03,16.32
2021-04-30,16.32
2021-04-29,16.32
2021-04-28,16.32
2021-04-27,16.32
2021-04-26,16.32
2021-04-23,16.32
2021-04-22,16.32
2021-04-21,16.32
2021-04-20,16.32
2021-04-19,16.32
2021-04-16,16.32
2021-04-15,16.32
2021-04-14,16.32
2021-04-13,16.32
2021-04-12,16.32
2021-04-09,16.32
2021-04-08,17.65
2021-04-07,17.65
2021-04-06,17.65
2021-04-05,17.65
2021-04-01,17.65
2021-03-31,17.65
2021-03-30,17.65
2021-03-29,17.65
2021-03-26,17.65
2021-03-25,17.65
2021-03-24,17.65
2021-03-23,17.65
2021-03-22,17.65
2021-03-19,17.65
2021-03-18,17.65
2021-03-17,17.65
2021-03-16,17.65
2021-03-15,17.65
2021-03-12,17.10
2021-03-11,17.10
2021-03-10,17.10
2021-03-09,17.10
2021-03-08,17.10
2021-03-05,17.10
2021-03-04,17.10
2021-03-03,17.10
2021-03-02,17.10
2021-03-01,17.10
2021-02-26,17.10
2021-02-25,17.10
2021-02-24,17.10
2021-02-23,17.10
2021-02-22,17.10
2021-02-19,17.10
2021-02-18,17.10
2021-02-17,17.10
2021-02-16,17.10
2021-02-12,18.00
2021-02-11,18.00
2021-02-10,18.00
2021-02-09,18.00
2021-02-08,18.00
2021-02-05,18.00
2021-02-04,18.00
2021-02-03,18.00
2021-02-02,18.00
2021-02-01,18.00
2021-01-29,18.00
2021-01-28,18.00
2021-01-27,18.00
2021-01-26,18.00
2021-01-25,18.00
2021-01-22,18.00
2021-01-21,18.00
2021-01-20,18.00
2021-01-19,18.00
2021-01-15,18.00
2021-01-14,18.00
2021-01-13,18.93
2021-01-12,18.93
2021-01-11,18.93
2021-01-08,18.93
2021-01-07,18.93
2021-01-06,18.93
2021-01-05,18.93
2021-01-04,18.93
2020-12-31,18.93
2020-12-30,18.93
2020-12-29,18.93
2020-12-28,12.80
2020-12-24,12.80
2020-12-23,12.80
2020-12-22,12.80
2020-12-21,12.80
2020-12-18,12.80
2020-12-17,12.80
2020-12-16,12.80
2020-12-15,12.80
2020-12-14,12.80
2020-12-11,12.80
2020-12-10,12.80
2020-12-09,12.80
2020-12-08,12.80
2020-12-07,12.80
2020-12-04,12.80
2020-12-03,12.80
2020-12-02,12.80
2020-12-01,12.80
2020-11-30,12.80
2020-11-27,12.80
2020-11-25,12.80
2020-11-24,12.80
2020-11-23,12.80
2020-11-20,12.80
2020-11-19,12.80
2020-11-18,12.80
2020-11-17,12.80
2020-11-16,12.80
2020-11-13,12.80
2020-11-12,12.80
2020-11-11,12.80
2020-11-10,12.80
2020-11-09,12.80
2020-11-06,12.80
2020-11-05,12.80
2020-11-04,12.80
2020-11-03,12.80
2020-11-02,13.34
2020-10-30,13.34
2020-10-29,13.34
2020-10-28,13.34
2020-10-27,13.34
2020-10-26,13.34
2020-10-23,13.34
2020-10-22,13.34
2020-10-21,13.34
2020-10-20,13.34
2020-10-19,13.34
2020-10-16,13.34
2020-10-15,13.34
2020-10-14,13.34
2020-10-13,13.34
2020-10-12,13.34
2020-10-09,13.34
2020-10-08,13.34
2020-10-07,13.34
2020-10-06,13.34
2020-10-05,13.34
2020-10-02,13.34
2020-10-01,13.34
2020-09-30,13.34
2020-09-29,13.34
2020-09-28,13.34
2020-09-25,13.34
2020-09-24,13.34
2020-09-23,13.34
2020-09-22,13.34
2020-09-21,13.34
2020-09-18,13.34
2020-09-17,13.34
2020-09-16,13.34
2020-09-15,13.34
2020-09-14,13.34
2020-09-11,13.34
2020-09-10,13.34
2020-09-09,13.34
2020-09-08,13.34
2020-09-04,13.34
2020-09-03,13.34
