,VFC
2022-05-05,48.70
2022-05-04,50.30
2022-05-03,51.04
2022-05-02,50.95
2022-04-29,51.89
2022-04-28,52.17
2022-04-27,52.00
2022-04-26,52.41
2022-04-25,52.92
2022-04-22,54.50
2022-04-21,56.16
2022-04-20,57.52
2022-04-19,55.91
2022-04-18,55.20
2022-04-14,55.73
2022-04-13,55.03
2022-04-12,55.01
2022-04-11,55.06
2022-04-08,55.68
2022-04-07,54.75
2022-04-06,54.30
2022-04-05,54.82
2022-04-04,56.03
2022-04-01,55.65
2022-03-31,56.85
2022-03-30,58.09
2022-03-29,58.69
2022-03-28,56.83
2022-03-25,56.48
2022-03-24,55.80
2022-03-23,55.56
2022-03-22,56.40
2022-03-21,56.19
2022-03-18,56.09
2022-03-17,55.88
2022-03-16,55.38
2022-03-15,54.07
2022-03-14,53.57
2022-03-11,53.18
2022-03-10,52.36
2022-03-09,52.81
2022-03-08,51.02
2022-03-07,51.76
2022-03-04,53.50
2022-03-03,55.73
2022-03-02,55.48
2022-03-01,55.31
2022-02-28,57.27
2022-02-25,57.61
2022-02-24,55.71
2022-02-23,57.02
2022-02-22,57.93
2022-02-18,58.76
2022-02-17,59.13
2022-02-16,60.71
2022-02-15,60.75
2022-02-14,59.82
2022-02-11,60.53
2022-02-10,62.40
2022-02-09,63.51
2022-02-08,62.31
2022-02-07,62.50
2022-02-04,62.55
2022-02-03,63.58
2022-02-02,64.15
2022-02-01,64.85
2022-01-31,61.98
2022-01-28,61.49
2022-01-27,66.72
2022-01-26,65.74
2022-01-25,65.44
2022-01-24,65.78
2022-01-21,65.50
2022-01-20,66.52
2022-01-19,70.31
2022-01-18,70.52
2022-01-14,69.77
2022-01-13,71.82
2022-01-12,71.00
2022-01-11,70.35
2022-01-10,69.61
2022-01-07,71.20
2022-01-06,70.75
2022-01-05,74.08
2022-01-04,73.94
2022-01-03,72.98
2021-12-31,72.60
2021-12-30,72.41
2021-12-29,71.64
2021-12-28,70.98
2021-12-27,69.55
2021-12-23,68.48
2021-12-22,69.13
2021-12-21,68.73
2021-12-20,67.65
2021-12-17,70.63
2021-12-16,72.25
2021-12-15,72.29
2021-12-14,73.26
2021-12-13,74.15
2021-12-10,75.89
2021-12-09,75.95
2021-12-08,76.57
2021-12-07,76.11
2021-12-06,75.14
2021-12-03,73.77
2021-12-02,71.09
2021-12-01,70.80
2021-11-30,71.41
2021-11-29,73.25
2021-11-26,71.45
2021-11-24,73.35
2021-11-23,75.87
2021-11-22,75.25
2021-11-19,75.53
2021-11-18,76.33
2021-11-17,76.13
2021-11-16,77.06
2021-11-15,77.07
2021-11-12,75.87
2021-11-11,75.60
2021-11-10,74.69
2021-11-09,74.44
2021-11-08,73.28
2021-11-05,73.65
2021-11-04,73.18
2021-11-03,72.15
2021-11-02,71.56
2021-11-01,72.71
2021-10-29,71.79
2021-10-28,71.06
2021-10-27,70.51
2021-10-26,71.13
2021-10-25,69.60
2021-10-22,69.45
2021-10-21,73.71
2021-10-20,73.12
2021-10-19,72.75
2021-10-18,72.32
2021-10-15,73.11
2021-10-14,72.57
2021-10-13,71.93
2021-10-12,69.51
2021-10-11,68.19
2021-10-08,67.17
2021-10-07,67.91
2021-10-06,65.66
2021-10-05,67.29
2021-10-04,68.25
2021-10-01,66.41
2021-09-30,66.52
2021-09-29,67.90
2021-09-28,67.24
2021-09-27,67.96
2021-09-24,65.77
2021-09-23,66.68
2021-09-22,65.34
2021-09-21,66.02
2021-09-20,66.73
2021-09-17,68.81
2021-09-16,69.06
2021-09-15,68.93
2021-09-14,69.81
2021-09-13,70.96
2021-09-10,70.90
2021-09-09,71.01
2021-09-08,70.80
2021-09-07,71.68
2021-09-03,75.78
2021-09-02,75.28
2021-09-01,75.90
2021-08-31,76.16
2021-08-30,76.85
2021-08-27,76.28
2021-08-26,75.40
2021-08-25,76.07
2021-08-24,76.66
2021-08-23,76.49
2021-08-20,75.48
2021-08-19,74.79
2021-08-18,76.03
2021-08-17,76.13
2021-08-16,79.23
2021-08-13,79.93
2021-08-12,80.26
2021-08-11,80.01
2021-08-10,79.44
2021-08-09,79.27
2021-08-06,80.37
2021-08-05,79.17
2021-08-04,79.06
2021-08-03,80.91
2021-08-02,80.84
2021-07-30,78.90
2021-07-29,83.24
2021-07-28,81.49
2021-07-27,82.52
2021-07-26,82.56
2021-07-23,81.16
2021-07-22,79.16
2021-07-21,78.55
2021-07-20,75.28
2021-07-19,74.50
2021-07-16,76.90
2021-07-15,79.18
2021-07-14,80.27
2021-07-13,81.32
2021-07-12,81.87
2021-07-09,81.66
2021-07-08,79.57
2021-07-07,81.28
2021-07-06,81.08
2021-07-02,83.27
2021-07-01,82.22
2021-06-30,80.66
2021-06-29,80.15
2021-06-28,80.10
2021-06-25,82.19
2021-06-24,81.20
2021-06-23,81.22
2021-06-22,79.86
2021-06-21,79.95
2021-06-18,79.40
2021-06-17,78.87
2021-06-16,80.65
2021-06-15,80.72
2021-06-14,80.69
2021-06-11,78.75
2021-06-10,78.34
2021-06-09,78.36
2021-06-08,78.56
2021-06-07,78.77
2021-06-04,77.87
2021-06-03,78.07
2021-06-02,78.89
2021-06-01,79.38
2021-05-28,79.16
2021-05-27,79.32
2021-05-26,77.63
2021-05-25,76.85
2021-05-24,76.41
2021-05-21,77.14
2021-05-20,82.35
2021-05-19,84.02
2021-05-18,86.19
2021-05-17,85.03
2021-05-14,84.29
2021-05-13,83.07
2021-05-12,83.40
2021-05-11,84.96
2021-05-10,86.86
2021-05-07,88.82
2021-05-06,88.49
2021-05-05,88.35
2021-05-04,88.25
2021-05-03,88.11
2021-04-30,87.28
2021-04-29,88.71
2021-04-28,88.68
2021-04-27,87.87
2021-04-26,87.30
2021-04-23,86.53
2021-04-22,85.97
2021-04-21,84.38
2021-04-20,82.64
2021-04-19,83.42
2021-04-16,84.29
2021-04-15,83.62
2021-04-14,83.46
2021-04-13,82.85
2021-04-12,84.02
2021-04-09,83.50
2021-04-08,82.95
2021-04-07,83.58
2021-04-06,82.93
2021-04-05,79.78
2021-04-01,78.88
2021-03-31,79.88
2021-03-30,78.43
2021-03-29,78.43
2021-03-26,78.48
2021-03-25,75.38
2021-03-24,76.60
2021-03-23,76.20
2021-03-22,78.75
2021-03-19,77.87
2021-03-18,78.06
2021-03-17,75.55
2021-03-16,75.76
2021-03-15,78.05
2021-03-12,78.38
2021-03-11,78.22
2021-03-10,79.56
2021-03-09,79.49
2021-03-08,80.59
2021-03-05,76.13
2021-03-04,75.88
2021-03-03,81.12
2021-03-02,80.66
2021-03-01,79.83
2021-02-26,78.71
2021-02-25,79.69
2021-02-24,79.34
2021-02-23,79.28
2021-02-22,79.79
2021-02-19,79.11
2021-02-18,78.04
2021-02-17,78.71
2021-02-16,79.36
2021-02-12,78.93
2021-02-11,80.25
2021-02-10,80.38
2021-02-09,80.85
2021-02-08,80.61
2021-02-05,81.23
2021-02-04,79.43
2021-02-03,78.81
2021-02-02,79.12
2021-02-01,76.68
2021-01-29,76.42
2021-01-28,78.90
2021-01-27,78.72
2021-01-26,84.86
2021-01-25,83.23
2021-01-22,83.19
2021-01-21,82.50
2021-01-20,81.62
2021-01-19,81.84
2021-01-15,83.53
2021-01-14,85.03
2021-01-13,85.04
2021-01-12,86.36
2021-01-11,86.77
2021-01-08,87.10
2021-01-07,88.00
2021-01-06,85.97
2021-01-05,84.05
2021-01-04,84.33
2020-12-31,85.19
2020-12-30,84.89
2020-12-29,83.88
2020-12-28,84.52
2020-12-24,83.23
2020-12-23,83.13
2020-12-22,82.62
2020-12-21,83.63
2020-12-18,84.54
2020-12-17,85.92
2020-12-16,86.06
2020-12-15,85.85
2020-12-14,85.69
2020-12-11,85.60
2020-12-10,86.37
2020-12-09,87.74
2020-12-08,87.41
2020-12-07,87.14
2020-12-04,86.42
2020-12-03,85.00
2020-12-02,83.73
2020-12-01,83.91
2020-11-30,82.89
2020-11-27,85.18
2020-11-25,86.39
2020-11-24,87.14
2020-11-23,84.94
2020-11-20,84.28
2020-11-19,82.67
2020-11-18,84.82
2020-11-17,81.20
2020-11-16,80.26
2020-11-13,76.89
2020-11-12,75.16
2020-11-11,76.13
2020-11-10,76.63
2020-11-09,77.53
2020-11-06,69.86
2020-11-05,70.24
2020-11-04,69.51
2020-11-03,69.24
2020-11-02,67.62
2020-10-30,66.26
2020-10-29,67.63
2020-10-28,68.21
2020-10-27,71.82
2020-10-26,72.63
2020-10-23,73.32
2020-10-22,72.26
2020-10-21,72.20
2020-10-20,72.12
2020-10-19,72.21
2020-10-16,74.18
2020-10-15,75.29
2020-10-14,75.38
2020-10-13,76.24
2020-10-12,77.35
2020-10-09,76.42
2020-10-08,77.05
2020-10-07,75.82
2020-10-06,74.53
2020-10-05,73.29
2020-10-02,69.69
2020-10-01,70.44
2020-09-30,69.65
2020-09-29,68.85
2020-09-28,71.05
2020-09-25,68.71
2020-09-24,66.95
2020-09-23,68.88
2020-09-22,68.15
2020-09-21,68.23
2020-09-18,71.97
2020-09-17,74.08
2020-09-16,74.58
2020-09-15,73.63
2020-09-14,70.35
2020-09-11,67.89
2020-09-10,67.87
2020-09-09,66.71
2020-09-08,67.19
2020-09-04,67.69
2020-09-03,68.17
2020-09-02,66.65
2020-09-01,65.05
2020-08-31,65.13
2020-08-28,65.78
2020-08-27,64.54
2020-08-26,63.62
2020-08-25,64.34
2020-08-24,61.84
2020-08-21,60.56
2020-08-20,60.48
2020-08-19,61.16
2020-08-18,61.28
2020-08-17,62.59
2020-08-14,62.88
2020-08-13,62.94
2020-08-12,62.83
2020-08-11,64.24
2020-08-10,61.30
2020-08-07,58.92
2020-08-06,59.90
2020-08-05,59.78
2020-08-04,58.95
2020-08-03,57.59
2020-07-31,58.08
2020-07-30,60.00
2020-07-29,60.67
2020-07-28,60.37
2020-07-27,59.34
2020-07-24,59.70
2020-07-23,59.47
2020-07-22,59.06
2020-07-21,58.02
2020-07-20,57.91
2020-07-17,59.70
2020-07-16,61.85
2020-07-15,61.41
2020-07-14,59.53
2020-07-13,59.32
2020-07-10,58.35
2020-07-09,58.18
2020-07-08,59.05
2020-07-07,59.67
2020-07-06,61.70
2020-07-02,61.42
2020-07-01,60.43
2020-06-30,59.10
2020-06-29,57.51
2020-06-26,56.70
2020-06-25,58.35
2020-06-24,58.69
2020-06-23,62.30
2020-06-22,61.48
2020-06-19,62.20
2020-06-18,62.72
2020-06-17,63.52
2020-06-16,64.17
2020-06-15,58.46
2020-06-12,58.60
2020-06-11,59.51
2020-06-10,62.75
2020-06-09,64.10
2020-06-08,66.92
2020-06-05,67.92
2020-06-04,62.83
2020-06-03,60.14
2020-06-02,58.46
2020-06-01,55.85
2020-05-29,55.52
2020-05-28,58.66
2020-05-27,61.05
2020-05-26,57.77
2020-05-22,54.46
2020-05-21,55.21
2020-05-20,55.67
2020-05-19,54.71
2020-05-18,54.77
2020-05-15,51.47
2020-05-14,50.72
2020-05-13,52.10
2020-05-12,55.50
2020-05-11,56.04
2020-05-08,58.09
2020-05-07,56.70
2020-05-06,54.83
2020-05-05,55.51
2020-05-04,54.04
2020-05-01,55.02
2020-04-30,57.72
2020-04-29,59.98
2020-04-28,58.71
2020-04-27,55.03
2020-04-24,54.11
2020-04-23,53.80
2020-04-22,53.85
2020-04-21,52.50
2020-04-20,55.52
2020-04-17,56.96
2020-04-16,53.75
2020-04-15,55.68
2020-04-14,58.51
2020-04-13,57.23
2020-04-09,58.16
2020-04-08,56.05
2020-04-07,56.15
2020-04-06,51.25
2020-04-03,48.12
2020-04-02,47.80
2020-04-01,47.94
2020-03-31,53.74
2020-03-30,57.05
2020-03-27,57.02
2020-03-26,57.64
2020-03-25,52.02
2020-03-24,48.18
2020-03-23,45.07
2020-03-20,51.59
2020-03-19,53.05
2020-03-18,52.25
2020-03-17,54.45
2020-03-16,51.25
2020-03-13,54.95
2020-03-12,53.19
2020-03-11,62.18
2020-03-10,60.87
