,NZDUSD
2022-06-24,0.6278
2022-06-23,0.6249
2022-06-22,0.6245
2022-06-21,0.6319
2022-06-20,0.6307
2022-06-17,0.6270
2022-06-16,0.6234
2022-06-15,0.6219
2022-06-14,0.6215
2022-06-13,0.6259
2022-06-10,0.6352
2022-06-09,0.6399
2022-06-08,0.6436
2022-06-07,0.6424
2022-06-06,0.6486
2022-06-03,0.6505
2022-06-02,0.6461
2022-06-01,0.6466
2022-05-31,0.6484
2022-05-30,0.6533
2022-05-27,0.6475
2022-05-26,0.6449
2022-05-25,0.6427
2022-05-24,0.6425
2022-05-23,0.6420
2022-05-20,0.6366
2022-05-19,0.6295
2022-05-18,0.6327
2022-05-17,0.6308
2022-05-16,0.6231
2022-05-13,0.6226
2022-05-12,0.6226
2022-05-11,0.6283
2022-05-10,0.6281
2022-05-09,0.6332
2022-05-06,0.6397
2022-05-05,0.6405
2022-05-04,0.6424
2022-05-03,0.6412
2022-05-02,0.6420
2022-04-29,0.6474
2022-04-28,0.6454
2022-04-27,0.6529
2022-04-26,0.6580
2022-04-25,0.6584
2022-04-22,0.6628
2022-04-21,0.6735
2022-04-20,0.6737
2022-04-19,0.6721
2022-04-18,0.6721
2022-04-15,0.6769
2022-04-14,0.6769
2022-04-13,0.6758
2022-04-12,0.6807
2022-04-11,0.6814
2022-04-08,0.6824
2022-04-07,0.6883
2022-04-06,0.6926
2022-04-05,0.6944
2022-04-04,0.6907
2022-04-01,0.6898
2022-03-31,0.6930
2022-03-30,0.6940
2022-03-29,0.6878
2022-03-28,0.6889
2022-03-25,0.6946
2022-03-24,0.6943
2022-03-23,0.6937
2022-03-22,0.6865
2022-03-21,0.6878
2022-03-18,0.6868
2022-03-17,0.6825
2022-03-16,0.6743
2022-03-15,0.6730
2022-03-14,0.6775
2022-03-11,0.6816
2022-03-10,0.6813
2022-03-09,0.6800
2022-03-08,0.6801
2022-03-07,0.6824
2022-03-04,0.6770
2022-03-03,0.6763
2022-03-02,0.6746
2022-03-01,0.6750
2022-02-28,0.6678
2022-02-25,0.6687
2022-02-24,0.6632
2022-02-23,0.6736
2022-02-22,0.6693
2022-02-21,0.6685
2022-02-18,0.6688
2022-02-17,0.6662
2022-02-16,0.6634
2022-02-15,0.6603
2022-02-14,0.6594
2022-02-11,0.6629
2022-02-10,0.6656
2022-02-09,0.6642
2022-02-08,0.6629
2022-02-07,0.6604
2022-02-04,0.6591
2022-02-03,0.6613
2022-02-02,0.6625
2022-02-01,0.6567
2022-01-31,0.6544
2022-01-28,0.6534
2022-01-27,0.6588
2022-01-26,0.6679
2022-01-25,0.6662
2022-01-24,0.6662
2022-01-21,0.6709
2022-01-20,0.6757
2022-01-19,0.6766
2022-01-18,0.6759
2022-01-17,0.6789
2022-01-14,0.6809
2022-01-13,0.6843
2022-01-12,0.6775
2022-01-11,0.6742
2022-01-10,0.6738
2022-01-07,0.6737
2022-01-06,0.6735
2022-01-05,0.6796
2022-01-04,0.6766
2022-01-03,0.6776
2021-12-31,0.6822
2021-12-30,0.6818
2021-12-29,0.6790
2021-12-28,0.6791
2021-12-27,0.6790
2021-12-24,0.6812
2021-12-23,0.6797
2021-12-22,0.6741
2021-12-21,0.6706
2021-12-20,0.6703
2021-12-17,0.6746
2021-12-16,0.6759
2021-12-15,0.6728
2021-12-14,0.6737
2021-12-13,0.6747
2021-12-10,0.6771
2021-12-09,0.6782
2021-12-08,0.6769
2021-12-07,0.6738
2021-12-06,0.6742
2021-12-03,0.6751
2021-12-02,0.6800
2021-12-01,0.6820
2021-11-30,0.6774
2021-11-29,0.6789
2021-11-26,0.6806
2021-11-25,0.6841
2021-11-24,0.6867
2021-11-23,0.6917
2021-11-22,0.6965
2021-11-19,0.6994
2021-11-18,0.6996
2021-11-17,0.6982
2021-11-16,0.6993
2021-11-15,0.7033
2021-11-12,0.6998
2021-11-11,0.7015
2021-11-10,0.7078
2021-11-09,0.7111
2021-11-08,0.7105
2021-11-05,0.7074
2021-11-04,0.7096
2021-11-03,0.7115
2021-11-02,0.7102
2021-11-01,0.7162
2021-10-29,0.7137
2021-10-28,0.7153
2021-10-27,0.7133
2021-10-26,0.7154
2021-10-25,0.7132
2021-10-22,0.7134
2021-10-21,0.7165
2021-10-20,0.7152
2021-10-19,0.7092
2021-10-18,0.7051
2021-10-15,0.7030
2021-10-14,0.6969
2021-10-13,0.6915
2021-10-12,0.6925
2021-10-11,0.6921
2021-10-08,0.6910
2021-10-07,0.6910
2021-10-06,0.6878
2021-10-05,0.6930
2021-10-04,0.6928
2021-10-01,0.6878
2021-09-30,0.6861
2021-09-29,0.6868
2021-09-28,0.6951
2021-09-27,0.6993
2021-09-24,0.6999
2021-09-23,0.6983
2021-09-22,0.6996
2021-09-21,0.6995
2021-09-20,0.7007
2021-09-17,0.7028
2021-09-16,0.7061
2021-09-15,0.7075
2021-09-14,0.7103
2021-09-13,0.7099
2021-09-10,0.7091
2021-09-09,0.7084
2021-09-08,0.7078
2021-09-07,0.7089
2021-09-06,0.7129
2021-09-03,0.7108
2021-09-02,0.7059
2021-09-01,0.7037
2021-08-31,0.6998
2021-08-30,0.6989
2021-08-27,0.6934
2021-08-26,0.6949
2021-08-25,0.6932
2021-08-24,0.6880
2021-08-23,0.6831
2021-08-20,0.6807
2021-08-19,0.6810
2021-08-18,0.6877
2021-08-17,0.6906
2021-08-16,0.7013
2021-08-13,0.6996
2021-08-12,0.6998
2021-08-11,0.6994
2021-08-10,0.6970
2021-08-09,0.6986
2021-08-06,0.7003
2021-08-05,0.7039
2021-08-04,0.7037
2021-08-03,0.6985
2021-08-02,0.6954
2021-07-30,0.6976
2021-07-29,0.6951
2021-07-28,0.6918
2021-07-27,0.6941
2021-07-26,0.6951
2021-07-23,0.6962
2021-07-22,0.6949
2021-07-21,0.6896
2021-07-20,0.6884
2021-07-19,0.6925
2021-07-16,0.6991
2021-07-15,0.6985
2021-07-14,0.6941
2021-07-13,0.6920
2021-07-12,0.6951
2021-07-09,0.6924
2021-07-08,0.6938
2021-07-07,0.6991
2021-07-06,0.6992
2021-07-05,0.7015
2021-07-02,0.6953
2021-07-01,0.6973
2021-06-30,0.6967
2021-06-29,0.6981
