,NZDUSD
2019-01-15,0.6807
2019-01-14,0.6798
2019-01-11,0.6785
2019-01-10,0.6772
2019-01-09,0.6737
2019-01-08,0.6710
2019-01-07,0.6732
2019-01-04,0.6674
2019-01-03,0.6616
2019-01-02,0.6663
2019-01-01,0.6709
2018-12-31,0.6694
2018-12-28,0.6694
2018-12-27,0.6698
2018-12-26,0.6722
2018-12-25,0.6728
2018-12-24,0.6714
2018-12-21,0.6726
2018-12-20,0.6726
2018-12-19,0.6852
2018-12-18,0.6812
2018-12-17,0.6786
2018-12-14,0.6780
2018-12-13,0.6844
2018-12-12,0.6826
2018-12-11,0.6864
2018-12-10,0.6845
2018-12-07,0.6859
2018-12-06,0.6859
2018-12-05,0.6901
2018-12-04,0.6926
2018-12-03,0.6891
2018-11-30,0.6854
2018-11-29,0.6840
2018-11-28,0.6785
2018-11-27,0.6755
2018-11-26,0.6768
2018-11-23,0.6769
2018-11-22,0.6791
2018-11-21,0.6783
2018-11-20,0.6806
2018-11-19,0.6818
2018-11-16,0.6801
2018-11-15,0.6789
2018-11-14,0.6766
2018-11-13,0.6711
2018-11-12,0.6707
2018-11-09,0.6733
2018-11-08,0.6772
2018-11-07,0.6718
2018-11-06,0.6647
2018-11-05,0.6635
2018-11-02,0.6649
2018-11-01,0.6523
2018-10-31,0.6529
2018-10-30,0.6523
2018-10-29,0.6516
2018-10-26,0.6466
2018-10-25,0.6508
2018-10-24,0.6523
2018-10-23,0.6536
2018-10-22,0.6550
2018-10-19,0.6536
2018-10-18,0.6536
2018-10-17,0.6559
2018-10-16,0.6561
2018-10-15,0.6498
2018-10-12,0.6508
2018-10-11,0.6459
2018-10-10,0.6455
2018-10-09,0.6429
2018-10-08,0.6426
2018-10-05,0.6437
2018-10-04,0.6485
2018-10-03,0.6537
2018-10-02,0.6576
2018-10-01,0.6601
2018-09-28,0.6600
2018-09-27,0.6622
2018-09-26,0.6643
2018-09-25,0.6632
2018-09-24,0.6646
2018-09-21,0.6670
2018-09-20,0.6640
2018-09-19,0.6574
2018-09-18,0.6564
2018-09-17,0.6540
2018-09-14,0.6560
2018-09-13,0.6545
2018-09-12,0.6504
2018-09-11,0.6502
2018-09-10,0.6514
2018-09-07,0.6550
2018-09-06,0.6574
2018-09-05,0.6534
2018-09-04,0.6542
2018-09-03,0.6595
2018-08-31,0.6613
2018-08-30,0.6640
2018-08-29,0.6686
2018-08-28,0.6679
2018-08-27,0.6671
2018-08-24,0.6624
2018-08-23,0.6652
2018-08-22,0.6683
2018-08-21,0.6638
2018-08-20,0.6612
2018-08-17,0.6582
2018-08-16,0.6558
2018-08-15,0.6547
2018-08-14,0.6572
2018-08-13,0.6572
2018-08-10,0.6574
2018-08-09,0.6621
2018-08-08,0.6724
2018-08-07,0.6726
2018-08-06,0.6726
2018-08-03,0.6722
2018-08-02,0.6750
2018-08-01,0.6789
2018-07-31,0.6803
2018-07-30,0.6793
2018-07-27,0.6764
2018-07-26,0.6789
2018-07-25,0.6787
2018-07-24,0.6771
2018-07-23,0.6781
2018-07-20,0.6722
2018-07-19,0.6716
2018-07-18,0.6745
2018-07-17,0.6772
2018-07-16,0.6760
2018-07-13,0.6727
2018-07-12,0.6750
2018-07-11,0.6782
2018-07-10,0.6809
2018-07-09,0.6833
2018-07-06,0.6783
2018-07-05,0.6752
2018-07-04,0.6752
2018-07-03,0.6690
