,PLNT
2022-05-05,75.46
2022-05-04,76.56
2022-05-03,77.92
2022-05-02,77.88
2022-04-29,80.01
2022-04-28,79.07
2022-04-27,78.75
2022-04-26,79.75
2022-04-25,81.20
2022-04-22,82.09
2022-04-21,82.87
2022-04-20,84.95
2022-04-19,85.43
2022-04-18,84.06
2022-04-14,85.33
2022-04-13,82.78
2022-04-12,81.62
2022-04-11,80.13
2022-04-08,79.68
2022-04-07,79.31
2022-04-06,80.32
2022-04-05,82.30
2022-04-04,83.81
2022-04-01,83.06
2022-03-31,84.06
2022-03-30,84.59
2022-03-29,85.40
2022-03-28,84.09
2022-03-25,84.24
2022-03-24,83.25
2022-03-23,83.69
2022-03-22,84.02
2022-03-21,83.63
2022-03-18,85.47
2022-03-17,84.92
2022-03-16,83.68
2022-03-15,81.73
2022-03-14,79.29
2022-03-11,81.87
2022-03-10,78.44
2022-03-09,80.08
2022-03-08,74.03
2022-03-07,73.72
2022-03-04,78.25
2022-03-03,81.28
2022-03-02,82.24
2022-03-01,81.01
2022-02-28,82.73
2022-02-25,84.12
2022-02-24,81.74
2022-02-23,89.25
2022-02-22,90.50
2022-02-18,92.28
2022-02-17,92.72
2022-02-16,94.20
2022-02-15,92.77
2022-02-14,91.57
2022-02-11,90.95
2022-02-10,91.37
2022-02-09,93.30
2022-02-08,88.19
2022-02-07,86.11
2022-02-04,84.84
2022-02-03,85.11
2022-02-02,87.99
2022-02-01,87.23
2022-01-31,84.44
2022-01-28,80.07
2022-01-27,80.60
2022-01-26,79.88
2022-01-25,81.41
2022-01-24,79.19
2022-01-21,81.61
2022-01-20,82.84
2022-01-19,81.59
2022-01-18,83.09
2022-01-14,85.04
2022-01-13,89.32
2022-01-12,92.26
2022-01-11,88.65
2022-01-10,86.32
2022-01-07,90.60
2022-01-06,88.77
2022-01-05,90.51
2022-01-04,92.61
2022-01-03,91.36
2021-12-31,90.05
2021-12-30,90.68
2021-12-29,90.56
2021-12-28,91.20
2021-12-27,89.71
2021-12-23,88.95
2021-12-22,85.64
2021-12-21,82.18
2021-12-20,79.07
2021-12-17,79.08
2021-12-16,80.49
2021-12-15,82.25
2021-12-14,84.21
2021-12-13,84.84
2021-12-10,86.04
2021-12-09,87.29
2021-12-08,86.40
2021-12-07,85.75
2021-12-06,80.25
2021-12-03,79.27
2021-12-02,78.52
2021-12-01,78.70
2021-11-30,81.06
2021-11-29,84.96
2021-11-26,83.41
2021-11-24,88.00
2021-11-23,87.89
2021-11-22,87.92
2021-11-19,88.22
2021-11-18,89.39
2021-11-17,90.71
2021-11-16,91.50
2021-11-15,91.29
2021-11-12,90.03
2021-11-11,89.13
2021-11-10,90.94
2021-11-09,94.21
2021-11-08,95.36
2021-11-05,95.00
2021-11-04,87.50
2021-11-03,81.90
2021-11-02,81.75
2021-11-01,79.90
2021-10-29,78.36
2021-10-28,79.04
2021-10-27,78.56
2021-10-26,79.05
2021-10-25,78.43
2021-10-22,78.50
2021-10-21,77.00
2021-10-20,76.91
2021-10-19,80.56
2021-10-18,79.21
2021-10-15,80.79
2021-10-14,79.98
2021-10-13,78.43
2021-10-12,79.36
2021-10-11,79.21
2021-10-08,78.59
2021-10-07,78.70
2021-10-06,79.94
2021-10-05,81.41
2021-10-04,81.54
2021-10-01,79.53
2021-09-30,78.00
2021-09-29,78.11
2021-09-28,79.54
2021-09-27,80.21
2021-09-24,78.56
2021-09-23,78.97
2021-09-22,76.33
2021-09-21,76.18
2021-09-20,75.94
2021-09-17,77.96
2021-09-16,77.66
2021-09-15,77.03
2021-09-14,77.36
2021-09-13,76.86
2021-09-10,77.27
2021-09-09,76.56
2021-09-08,76.62
2021-09-07,75.99
2021-09-03,76.15
2021-09-02,78.40
2021-09-01,79.78
2021-08-31,79.79
2021-08-30,81.23
2021-08-27,79.84
2021-08-26,78.82
2021-08-25,76.93
2021-08-24,75.32
2021-08-23,70.68
2021-08-20,67.89
2021-08-19,68.35
2021-08-18,71.28
2021-08-17,72.28
2021-08-16,74.30
2021-08-13,74.55
2021-08-12,74.71
2021-08-11,73.88
2021-08-10,71.26
2021-08-09,72.69
2021-08-06,75.16
2021-08-05,72.72
2021-08-04,72.48
2021-08-03,71.22
2021-08-02,74.09
2021-07-30,74.92
2021-07-29,75.88
2021-07-28,73.90
2021-07-27,74.48
2021-07-26,74.78
2021-07-23,74.20
2021-07-22,71.54
2021-07-21,71.88
2021-07-20,68.17
2021-07-19,68.68
2021-07-16,72.90
2021-07-15,72.60
2021-07-14,72.89
2021-07-13,72.06
2021-07-12,72.94
2021-07-09,72.50
2021-07-08,70.28
2021-07-07,71.88
2021-07-06,73.28
2021-07-02,74.36
2021-07-01,75.27
2021-06-30,73.93
2021-06-29,74.27
2021-06-28,74.86
2021-06-25,76.12
2021-06-24,76.14
2021-06-23,76.55
2021-06-22,75.51
2021-06-21,74.21
2021-06-18,73.43
2021-06-17,72.24
2021-06-16,71.84
2021-06-15,74.48
2021-06-14,74.82
2021-06-11,74.64
2021-06-10,74.61
2021-06-09,76.05
2021-06-08,74.92
2021-06-07,74.16
2021-06-04,73.84
2021-06-03,73.94
2021-06-02,75.86
2021-06-01,77.58
2021-05-28,78.35
2021-05-27,79.22
2021-05-26,79.05
2021-05-25,78.12
2021-05-24,77.60
2021-05-21,77.37
2021-05-20,76.11
2021-05-19,75.67
2021-05-18,78.60
2021-05-17,77.69
2021-05-14,77.07
2021-05-13,73.49
2021-05-12,72.91
2021-05-11,76.01
2021-05-10,75.58
2021-05-07,76.00
2021-05-06,79.45
