,RCI
2022-05-05,52.72
2022-05-04,53.23
2022-05-03,53.19
2022-05-02,52.82
2022-04-29,54.27
2022-04-28,55.98
2022-04-27,55.98
2022-04-26,56.44
2022-04-25,56.73
2022-04-22,57.31
2022-04-21,59.36
2022-04-20,59.97
2022-04-19,58.27
2022-04-18,58.58
2022-04-14,58.73
2022-04-13,57.67
2022-04-12,58.36
2022-04-11,58.02
2022-04-08,58.08
2022-04-07,57.28
2022-04-06,57.19
2022-04-05,56.67
2022-04-04,56.70
2022-04-01,56.53
2022-03-31,55.83
2022-03-30,55.53
2022-03-29,54.73
2022-03-28,54.34
2022-03-25,53.35
2022-03-24,52.93
2022-03-23,53.07
2022-03-22,53.25
2022-03-21,53.28
2022-03-18,53.45
2022-03-17,53.37
2022-03-16,52.82
2022-03-15,53.06
2022-03-14,53.39
2022-03-11,53.66
2022-03-10,53.01
2022-03-09,52.70
2022-03-08,53.46
2022-03-07,53.50
2022-03-04,52.69
2022-03-03,53.30
2022-03-02,51.68
2022-03-01,51.07
2022-02-28,51.24
2022-02-25,51.34
2022-02-24,50.50
2022-02-23,51.36
2022-02-22,51.68
2022-02-18,51.92
2022-02-17,52.63
2022-02-16,52.26
2022-02-15,51.68
2022-02-14,50.99
2022-02-11,51.07
2022-02-10,51.23
2022-02-09,51.54
2022-02-08,51.15
2022-02-07,51.00
2022-02-04,50.93
2022-02-03,51.13
2022-02-02,51.05
2022-02-01,50.40
2022-01-31,50.60
2022-01-28,50.09
2022-01-27,48.75
2022-01-26,48.56
2022-01-25,47.33
2022-01-24,47.07
2022-01-21,48.45
2022-01-20,49.10
2022-01-19,49.48
2022-01-18,49.28
2022-01-14,49.11
2022-01-13,49.22
2022-01-12,48.97
2022-01-11,48.36
2022-01-10,48.24
2022-01-07,47.91
2022-01-06,47.88
2022-01-05,47.76
2022-01-04,47.65
2022-01-03,47.46
2021-12-31,47.23
2021-12-30,46.98
2021-12-29,46.61
2021-12-28,46.60
2021-12-27,46.36
2021-12-23,46.67
2021-12-22,46.11
2021-12-21,45.82
2021-12-20,45.06
2021-12-17,44.52
2021-12-16,44.58
2021-12-15,44.26
2021-12-14,44.59
2021-12-13,44.78
2021-12-10,44.88
2021-12-09,45.21
2021-12-08,45.84
2021-12-07,46.24
2021-12-06,45.60
2021-12-03,45.42
2021-12-02,44.57
2021-12-01,44.67
2021-11-30,44.19
2021-11-29,45.17
2021-11-26,45.70
2021-11-24,46.45
2021-11-23,46.31
2021-11-22,46.33
2021-11-19,46.44
2021-11-18,46.83
2021-11-17,47.05
2021-11-16,48.10
2021-11-15,48.19
2021-11-12,48.02
2021-11-11,48.19
2021-11-10,48.75
2021-11-09,48.79
2021-11-08,47.48
2021-11-05,46.76
2021-11-04,47.52
2021-11-03,46.92
2021-11-02,46.91
2021-11-01,46.53
2021-10-29,46.26
2021-10-28,46.86
2021-10-27,45.42
2021-10-26,45.20
2021-10-25,45.46
2021-10-22,48.16
2021-10-21,48.21
2021-10-20,48.88
2021-10-19,48.41
2021-10-18,48.59
2021-10-15,48.45
2021-10-14,47.37
2021-10-13,46.46
2021-10-12,46.22
2021-10-11,47.10
2021-10-08,46.94
2021-10-07,46.45
2021-10-06,46.16
2021-10-05,46.65
2021-10-04,46.40
2021-10-01,46.36
2021-09-30,46.55
2021-09-29,46.65
2021-09-28,46.41
2021-09-27,46.86
2021-09-24,46.75
2021-09-23,46.89
2021-09-22,46.83
2021-09-21,46.60
2021-09-20,46.10
2021-09-17,46.65
2021-09-16,46.63
2021-09-15,46.33
2021-09-14,47.19
2021-09-13,47.61
2021-09-10,47.78
2021-09-09,48.87
2021-09-08,49.03
2021-09-07,49.73
2021-09-03,50.62
2021-09-02,50.79
2021-09-01,50.60
2021-08-31,50.67
2021-08-30,50.65
2021-08-27,50.10
2021-08-26,50.10
2021-08-25,50.28
2021-08-24,50.07
2021-08-23,49.67
2021-08-20,49.09
2021-08-19,49.08
2021-08-18,49.76
2021-08-17,50.04
2021-08-16,50.31
2021-08-13,50.04
2021-08-12,50.68
2021-08-11,50.71
2021-08-10,50.49
2021-08-09,50.52
2021-08-06,51.05
2021-08-05,51.04
2021-08-04,50.88
2021-08-03,50.93
2021-08-02,50.73
2021-07-30,50.87
2021-07-29,50.95
2021-07-28,50.60
