,ADDYY
2022-05-05,97.73
2022-05-04,101.56
2022-05-03,100.33
2022-05-02,100.63
2022-04-29,99.94
2022-04-28,97.33
2022-04-27,96.15
2022-04-26,99.00
2022-04-25,102.24
2022-04-22,107.00
2022-04-21,110.75
2022-04-20,112.03
2022-04-19,107.75
2022-04-18,105.75
2022-04-14,107.00
2022-04-13,105.81
2022-04-12,108.14
2022-04-11,109.67
2022-04-08,110.76
2022-04-07,110.46
2022-04-06,109.19
2022-04-05,113.18
2022-04-04,115.93
2022-04-01,115.65
2022-03-31,116.82
2022-03-30,119.63
2022-03-29,119.70
2022-03-28,116.11
2022-03-25,116.20
2022-03-24,114.06
2022-03-23,115.37
2022-03-22,118.81
2022-03-21,116.59
2022-03-18,115.85
2022-03-17,116.54
2022-03-16,115.35
2022-03-15,109.59
2022-03-14,111.75
2022-03-11,110.85
2022-03-10,108.32
2022-03-09,114.85
2022-03-08,98.67
2022-03-07,93.86
2022-03-04,101.00
2022-03-03,109.64
2022-03-02,112.93
2022-03-01,112.02
2022-02-28,116.23
2022-02-25,117.96
2022-02-24,116.20
2022-02-23,121.82
2022-02-22,124.27
2022-02-18,129.26
2022-02-17,129.73
2022-02-16,132.42
2022-02-15,133.06
2022-02-14,128.99
2022-02-11,131.11
2022-02-10,137.26
2022-02-09,139.75
2022-02-08,134.69
2022-02-07,137.05
2022-02-04,137.44
2022-02-03,137.66
2022-02-02,138.95
2022-02-01,136.40
2022-01-31,134.28
2022-01-28,130.00
2022-01-27,133.92
2022-01-26,135.24
2022-01-25,133.02
2022-01-24,134.70
2022-01-21,140.85
2022-01-20,143.50
2022-01-19,143.66
2022-01-18,143.80
2022-01-14,143.61
2022-01-13,145.44
2022-01-12,143.97
2022-01-11,144.66
2022-01-10,137.82
2022-01-07,139.41
2022-01-06,142.03
2022-01-05,145.29
2022-01-04,145.21
2022-01-03,145.99
2021-12-31,142.56
2021-12-30,143.02
2021-12-29,143.49
2021-12-28,143.47
2021-12-27,142.89
2021-12-23,142.00
2021-12-22,140.50
2021-12-21,138.24
2021-12-20,137.64
2021-12-17,140.64
2021-12-16,141.04
2021-12-15,140.51
2021-12-14,139.33
2021-12-13,141.45
2021-12-10,143.22
2021-12-09,145.45
2021-12-08,148.25
2021-12-07,148.04
2021-12-06,143.49
2021-12-03,139.38
2021-12-02,144.27
2021-12-01,144.94
2021-11-30,142.60
2021-11-29,142.79
2021-11-26,142.66
2021-11-24,149.55
2021-11-23,152.55
2021-11-22,156.39
2021-11-19,158.74
2021-11-18,159.89
2021-11-17,160.37
2021-11-16,161.82
2021-11-15,160.38
2021-11-12,160.03
2021-11-11,160.13
2021-11-10,162.06
2021-11-09,170.11
2021-11-08,169.84
2021-11-05,171.70
2021-11-04,168.86
2021-11-03,167.88
2021-11-02,165.10
2021-11-01,164.23
2021-10-29,162.21
2021-10-28,164.51
2021-10-27,161.49
2021-10-26,161.64
2021-10-25,160.76
2021-10-22,161.01
2021-10-21,159.21
2021-10-20,155.53
2021-10-19,155.71
2021-10-18,156.50
2021-10-15,157.74
2021-10-14,154.06
2021-10-13,151.65
2021-10-12,149.45
2021-10-11,150.19
2021-10-08,151.09
2021-10-07,152.55
2021-10-06,149.85
2021-10-05,152.46
2021-10-04,152.70
2021-10-01,156.56
2021-09-30,156.75
2021-09-29,156.19
2021-09-28,155.27
2021-09-27,162.23
2021-09-24,163.80
2021-09-23,169.18
2021-09-22,165.85
2021-09-21,164.66
2021-09-20,162.85
2021-09-17,165.00
2021-09-16,167.07
2021-09-15,167.48
2021-09-14,172.76
2021-09-13,175.18
2021-09-10,176.00
2021-09-09,175.43
2021-09-08,175.16
2021-09-07,177.26
2021-09-03,175.63
2021-09-02,178.10
2021-09-01,178.01
2021-08-31,176.30
2021-08-30,177.94
2021-08-27,177.61
2021-08-26,178.56
2021-08-25,179.79
2021-08-24,177.81
2021-08-23,179.69
2021-08-20,175.91
2021-08-19,176.00
2021-08-18,178.42
2021-08-17,181.11
2021-08-16,184.03
2021-08-13,187.47
2021-08-12,180.98
2021-08-11,180.28
2021-08-10,180.60
2021-08-09,184.00
2021-08-06,182.80
2021-08-05,187.60
2021-08-04,196.28
2021-08-03,190.24
2021-08-02,186.94
2021-07-30,181.57
2021-07-29,182.94
2021-07-28,182.03
2021-07-27,182.14
2021-07-26,184.00
2021-07-23,184.75
2021-07-22,182.69
2021-07-21,181.74
2021-07-20,178.67
2021-07-19,178.84
2021-07-16,182.50
2021-07-15,185.80
2021-07-14,189.47
2021-07-13,189.00
2021-07-12,190.22
2021-07-09,187.43
2021-07-08,183.75
2021-07-07,187.60
2021-07-06,184.01
2021-07-02,186.45
2021-07-01,186.00
2021-06-30,185.46
2021-06-29,188.00
2021-06-28,184.37
2021-06-25,184.11
2021-06-24,174.37
2021-06-23,173.49
2021-06-22,171.90
2021-06-21,171.86
2021-06-18,169.64
2021-06-17,173.26
2021-06-16,175.92
2021-06-15,176.95
2021-06-14,177.73
2021-06-11,178.31
2021-06-10,176.95
2021-06-09,178.33
2021-06-08,179.49
2021-06-07,180.90
2021-06-04,180.55
2021-06-03,180.24
2021-06-02,181.08
2021-06-01,181.60
2021-05-28,181.25
2021-05-27,180.45
2021-05-26,181.04
2021-05-25,183.01
2021-05-24,183.50
2021-05-21,183.10
2021-05-20,181.33
2021-05-19,177.34
2021-05-18,178.39
2021-05-17,179.36
2021-05-14,173.43
2021-05-13,171.72
2021-05-12,171.92
2021-05-11,171.80
2021-05-10,172.95
2021-05-07,167.51
2021-05-06,153.40
2021-05-05,154.82
2021-05-04,150.48
2021-05-03,156.20
2021-04-30,154.17
2021-04-29,157.13
2021-04-28,155.97
2021-04-27,158.17
2021-04-26,159.76
2021-04-23,159.37
2021-04-22,161.43
2021-04-21,162.89
2021-04-20,161.50
2021-04-19,166.38
2021-04-16,165.17
2021-04-15,164.15
2021-04-14,165.30
2021-04-13,166.79
2021-04-12,167.58
2021-04-09,164.51
2021-04-08,164.20
2021-04-07,160.58
2021-04-06,162.57
2021-04-05,160.55
2021-04-01,158.14
2021-03-31,154.94
