,HKD
2018-12-14,7.8065
2018-12-13,7.8072
2018-12-12,7.8137
2018-12-11,7.8123
2018-12-10,7.8120
2018-12-07,7.8081
2018-12-06,7.8090
2018-12-05,7.8024
2018-12-04,7.8018
2018-12-03,7.8149
2018-11-30,7.8184
2018-11-29,7.8213
2018-11-28,7.8249
2018-11-27,7.8204
2018-11-26,7.8204
2018-11-23,7.8230
2018-11-22,7.8278
2018-11-21,7.8292
2018-11-20,7.8298
2018-11-19,7.8296
2018-11-16,7.8298
2018-11-15,7.8281
2018-11-14,7.8284
2018-11-13,7.8278
2018-11-12,7.8290
2018-11-09,7.8262
2018-11-08,7.8243
2018-11-07,7.8287
2018-11-06,7.8279
2018-11-05,7.8240
2018-11-02,7.8119
2018-11-01,7.8358
2018-10-31,7.8389
2018-10-30,7.8425
2018-10-29,7.8397
2018-10-26,7.8391
2018-10-25,7.8369
2018-10-24,7.8380
2018-10-23,7.8377
2018-10-22,7.8381
2018-10-19,7.8381
2018-10-18,7.8378
2018-10-17,7.8359
2018-10-16,7.8348
2018-10-15,7.8340
2018-10-12,7.8338
2018-10-11,7.8350
2018-10-10,7.8333
2018-10-09,7.8273
2018-10-08,7.8236
2018-10-05,7.8315
2018-10-04,7.8317
2018-10-03,7.8333
2018-10-02,7.8272
2018-10-01,7.8251
2018-09-28,7.8157
2018-09-27,7.8043
2018-09-26,7.8090
2018-09-25,7.8083
2018-09-24,7.7977
2018-09-21,7.7934
2018-09-20,7.8419
2018-09-19,7.8429
2018-09-18,7.8427
2018-09-17,7.8432
2018-09-14,7.8458
2018-09-13,7.8473
2018-09-12,7.8479
2018-09-11,7.8485
2018-09-10,7.8488
2018-09-07,7.8486
2018-09-06,7.8484
2018-09-05,7.8479
2018-09-04,7.8475
2018-09-03,7.8485
2018-08-31,7.8471
2018-08-30,7.8476
2018-08-29,7.8480
2018-08-28,7.8490
2018-08-27,7.8495
2018-08-24,7.8488
2018-08-23,7.8492
2018-08-22,7.8487
2018-08-21,7.8487
2018-08-20,7.8486
2018-08-17,7.8485
2018-08-16,7.8485
2018-08-15,7.8490
2018-08-14,7.8489
2018-08-13,7.8488
2018-08-10,7.8488
2018-08-09,7.8482
2018-08-08,7.8485
2018-08-07,7.8480
2018-08-06,7.8475
2018-08-03,7.8483
2018-08-02,7.8482
2018-08-01,7.8478
2018-07-31,7.8465
2018-07-30,7.8476
2018-07-27,7.8473
2018-07-26,7.8443
2018-07-25,7.8447
2018-07-24,7.8445
2018-07-23,7.8471
2018-07-20,7.8475
2018-07-19,7.8479
2018-07-18,7.8483
2018-07-17,7.8476
2018-07-16,7.8478
2018-07-13,7.8473
2018-07-12,7.8477
2018-07-11,7.8477
2018-07-10,7.8472
2018-07-09,7.8472
2018-07-06,7.8469
2018-07-05,7.8429
2018-07-04,7.8418
2018-07-03,7.8434
