,EURUSD
2018-11-07,1.1401
2018-11-06,1.1393
2018-11-05,1.1355
2018-11-02,1.1376
2018-11-01,1.1314
2018-10-31,1.1312
2018-10-30,1.1347
2018-10-29,1.1364
2018-10-26,1.1336
2018-10-25,1.1366
2018-10-24,1.1384
2018-10-23,1.1440
2018-10-22,1.1462
2018-10-19,1.1434
2018-10-18,1.1483
2018-10-17,1.1522
2018-10-16,1.1567
2018-10-15,1.1544
2018-10-12,1.1537
2018-10-11,1.1532
2018-10-10,1.1481
2018-10-09,1.1433
2018-10-08,1.1461
2018-10-05,1.1488
2018-10-04,1.1465
2018-10-03,1.1516
2018-10-02,1.1507
2018-10-01,1.1565
2018-09-28,1.1571
2018-09-27,1.1665
2018-09-26,1.1729
2018-09-25,1.1733
2018-09-24,1.1725
2018-09-21,1.1736
2018-09-20,1.1673
2018-09-19,1.1653
2018-09-18,1.1669
2018-09-17,1.1624
2018-09-14,1.1656
2018-09-13,1.1610
2018-09-12,1.1571
2018-09-11,1.1567
2018-09-10,1.1528
2018-09-07,1.1564
2018-09-06,1.1608
2018-09-05,1.1547
2018-09-04,1.1533
2018-09-03,1.1591
2018-08-31,1.1596
2018-08-30,1.1644
2018-08-29,1.1654
2018-08-28,1.1663
2018-08-27,1.1597
2018-08-24,1.1539
2018-08-23,1.1545
2018-08-22,1.1554
2018-08-21,1.1487
2018-08-20,1.1395
2018-08-17,1.1367
2018-08-16,1.1338
2018-08-15,1.1302
2018-08-14,1.1348
2018-08-13,1.1366
2018-08-10,1.1396
2018-08-09,1.1562
2018-08-08,1.1575
2018-08-07,1.1552
2018-08-06,1.1531
2018-08-03,1.1562
2018-08-02,1.1604
2018-08-01,1.1665
2018-07-31,1.1693
2018-07-30,1.1649
2018-07-27,1.1624
2018-07-26,1.1651
2018-07-25,1.1668
2018-07-24,1.1657
2018-07-23,1.1689
2018-07-20,1.1628
2018-07-19,1.1576
2018-07-18,1.1604
2018-07-17,1.1665
2018-07-16,1.1677
2018-07-13,1.1615
2018-07-12,1.1651
2018-07-11,1.1698
2018-07-10,1.1692
2018-07-09,1.1743
2018-07-06,1.1681
2018-07-05,1.1651
2018-07-04,1.1631
2018-07-03,1.1623
