,LULU
2022-05-05,338.33
2022-05-04,345.17
2022-05-03,353.12
2022-05-02,349.63
2022-04-29,353.93
2022-04-28,352.09
2022-04-27,350.05
2022-04-26,352.44
2022-04-25,356.51
2022-04-22,362.66
2022-04-21,375.01
2022-04-20,384.87
2022-04-19,394.47
2022-04-18,382.42
2022-04-14,390.17
2022-04-13,375.79
2022-04-12,372.46
2022-04-11,361.11
2022-04-08,369.08
2022-04-07,368.76
2022-04-06,365.00
2022-04-05,372.28
2022-04-04,368.25
2022-04-01,362.70
2022-03-31,364.91
2022-03-30,358.57
2022-03-29,336.07
2022-03-28,319.86
2022-03-25,316.01
2022-03-24,306.05
2022-03-23,308.18
2022-03-22,311.71
2022-03-21,303.50
2022-03-18,304.75
2022-03-17,300.22
2022-03-16,292.25
2022-03-15,278.00
2022-03-14,283.00
2022-03-11,291.38
2022-03-10,297.52
2022-03-09,301.22
2022-03-08,292.19
2022-03-07,301.87
2022-03-04,314.54
2022-03-03,320.50
2022-03-02,316.76
2022-03-01,313.30
2022-02-28,311.33
2022-02-25,305.29
2022-02-24,283.21
2022-02-23,295.17
2022-02-22,300.93
2022-02-18,307.01
2022-02-17,309.59
2022-02-16,312.02
2022-02-15,315.11
2022-02-14,309.97
2022-02-11,315.63
2022-02-10,331.18
2022-02-09,335.00
2022-02-08,327.65
2022-02-07,327.81
2022-02-04,329.75
2022-02-03,329.25
2022-02-02,344.40
2022-02-01,333.39
2022-01-31,316.41
2022-01-28,301.60
2022-01-27,304.45
2022-01-26,299.17
2022-01-25,305.12
2022-01-24,296.19
2022-01-21,312.66
2022-01-20,321.65
2022-01-19,329.02
2022-01-18,324.00
2022-01-14,325.73
2022-01-13,335.73
2022-01-12,345.48
2022-01-11,337.05
2022-01-10,323.50
2022-01-07,354.32
2022-01-06,355.68
2022-01-05,362.21
2022-01-04,376.01
2022-01-03,380.61
2021-12-31,391.27
2021-12-30,398.50
2021-12-29,400.00
2021-12-28,400.00
2021-12-27,392.98
2021-12-23,383.47
2021-12-22,383.52
2021-12-21,375.07
2021-12-20,366.45
2021-12-17,378.50
2021-12-16,386.45
2021-12-15,385.15
2021-12-14,391.00
2021-12-13,401.48
2021-12-10,402.32
2021-12-09,415.84
2021-12-08,421.47
2021-12-07,431.66
2021-12-06,413.06
2021-12-03,430.67
2021-12-02,441.40
2021-12-01,447.96
2021-11-30,452.20
2021-11-29,455.50
2021-11-26,453.64
2021-11-24,446.58
2021-11-23,454.78
2021-11-22,458.27
2021-11-19,469.09
2021-11-18,462.05
2021-11-17,465.34
2021-11-16,463.73
2021-11-15,454.66
2021-11-12,450.61
2021-11-11,452.51
2021-11-10,453.85
2021-11-09,465.30
2021-11-08,456.76
2021-11-05,465.78
2021-11-04,469.02
2021-11-03,462.16
2021-11-02,460.77
2021-11-01,456.10
2021-10-29,446.08
2021-10-28,435.31
2021-10-27,428.00
2021-10-26,427.11
2021-10-25,423.03
2021-10-22,418.90
2021-10-21,416.14
2021-10-20,413.66
2021-10-19,414.32
2021-10-18,400.30
2021-10-15,403.00
2021-10-14,402.08
2021-10-13,388.33
2021-10-12,383.24
2021-10-11,385.61
2021-10-08,393.72
2021-10-07,398.40
2021-10-06,392.52
2021-10-05,396.68
2021-10-04,390.42
2021-10-01,399.38
2021-09-30,403.32
2021-09-29,408.50
2021-09-28,413.70
2021-09-27,427.81
2021-09-24,424.07
2021-09-23,430.00
2021-09-22,422.01
2021-09-21,419.55
2021-09-20,412.49
2021-09-17,424.30
2021-09-16,417.21
2021-09-15,414.09
2021-09-14,419.39
2021-09-13,418.99
2021-09-10,417.09
2021-09-09,420.27
2021-09-08,376.37
2021-09-07,383.01
2021-09-03,385.12
2021-09-02,386.51
2021-09-01,393.68
2021-08-31,397.36
2021-08-30,406.41
2021-08-27,402.83
2021-08-26,402.00
2021-08-25,402.65
2021-08-24,402.00
2021-08-23,396.56
2021-08-20,391.58
2021-08-19,384.36
2021-08-18,390.99
2021-08-17,388.20
2021-08-16,400.37
2021-08-13,403.17
2021-08-12,406.39
2021-08-11,405.87
2021-08-10,404.58
2021-08-09,406.76
2021-08-06,406.53
2021-08-05,410.63
2021-08-04,408.12
2021-08-03,402.76
2021-08-02,399.58
2021-07-30,397.83
2021-07-29,394.32
2021-07-28,389.13
2021-07-27,385.74
2021-07-26,392.54
2021-07-23,394.13
2021-07-22,383.75
2021-07-21,380.50
2021-07-20,373.56
2021-07-19,364.51
2021-07-16,370.98
2021-07-15,370.38
2021-07-14,375.83
2021-07-13,365.88
2021-07-12,366.58
2021-07-09,372.77
2021-07-08,368.68
2021-07-07,371.26
2021-07-06,364.74
2021-07-02,365.51
2021-07-01,361.51
2021-06-30,364.49
2021-06-29,363.15
2021-06-28,363.52
2021-06-25,361.00
2021-06-24,361.17
2021-06-23,357.02
2021-06-22,352.05
2021-06-21,345.72
2021-06-18,343.49
2021-06-17,334.50
2021-06-16,333.47
2021-06-15,333.42
2021-06-14,335.20
2021-06-11,329.54
2021-06-10,327.51
2021-06-09,325.60
2021-06-08,328.33
2021-06-07,330.11
2021-06-04,318.50
2021-06-03,313.06
2021-06-02,315.79
2021-06-01,315.90
2021-05-28,323.00
2021-05-27,323.72
2021-05-26,324.37
2021-05-25,318.82
2021-05-24,313.50
2021-05-21,310.41
2021-05-20,310.72
2021-05-19,304.38
2021-05-18,310.79
2021-05-17,309.12
2021-05-14,309.00
2021-05-13,304.00
2021-05-12,304.30
2021-05-11,316.40
2021-05-10,324.15
2021-05-07,322.03
2021-05-06,317.29
2021-05-05,321.02
2021-05-04,321.88
2021-05-03,332.76
2021-04-30,334.99
2021-04-29,339.17
2021-04-28,335.59
2021-04-27,336.20
2021-04-26,334.84
2021-04-23,336.71
2021-04-22,326.18
2021-04-21,316.70
2021-04-20,314.83
2021-04-19,321.48
