,CMCSA
2022-05-05,40.04
2022-05-04,40.19
2022-05-03,39.97
2022-05-02,39.60
2022-04-29,39.61
2022-04-28,40.76
2022-04-27,44.08
2022-04-26,44.49
2022-04-25,44.86
2022-04-22,45.33
2022-04-21,46.83
2022-04-20,47.34
2022-04-19,46.74
2022-04-18,46.65
2022-04-14,47.49
2022-04-13,47.22
2022-04-12,47.13
2022-04-11,47.55
2022-04-08,46.54
2022-04-07,46.59
2022-04-06,47.43
2022-04-05,47.41
2022-04-04,47.63
2022-04-01,46.85
2022-03-31,46.82
2022-03-30,47.41
2022-03-29,47.39
2022-03-28,46.73
2022-03-25,46.85
2022-03-24,46.43
2022-03-23,46.52
2022-03-22,46.97
2022-03-21,46.19
2022-03-18,45.94
2022-03-17,45.45
2022-03-16,45.02
2022-03-15,45.11
2022-03-14,44.84
2022-03-11,44.95
2022-03-10,44.95
2022-03-09,45.98
2022-03-08,46.08
2022-03-07,45.90
2022-03-04,46.40
2022-03-03,46.70
2022-03-02,46.25
2022-03-01,45.81
2022-02-28,46.10
2022-02-25,46.00
2022-02-24,44.27
2022-02-23,44.80
2022-02-22,46.62
2022-02-18,46.43
2022-02-17,46.67
2022-02-16,47.65
2022-02-15,47.69
2022-02-14,47.07
2022-02-11,47.50
2022-02-10,48.75
2022-02-09,49.25
2022-02-08,48.83
2022-02-07,48.71
2022-02-04,48.72
2022-02-03,49.59
2022-02-02,49.36
2022-02-01,48.89
2022-01-31,49.03
2022-01-28,47.73
2022-01-27,45.47
2022-01-26,47.87
2022-01-25,48.82
2022-01-24,48.78
2022-01-21,49.65
2022-01-20,50.15
2022-01-19,49.51
2022-01-18,50.06
2022-01-14,51.14
2022-01-13,50.12
2022-01-12,50.82
2022-01-11,50.36
2022-01-10,49.87
2022-01-07,49.97
2022-01-06,50.19
2022-01-05,50.15
2022-01-04,49.92
2022-01-03,49.71
2021-12-31,50.29
2021-12-30,50.53
2021-12-29,50.31
2021-12-28,50.31
2021-12-27,49.66
2021-12-23,49.31
2021-12-22,48.43
2021-12-21,48.40
2021-12-20,47.98
2021-12-17,48.04
2021-12-16,48.42
2021-12-15,47.77
2021-12-14,46.29
2021-12-13,47.45
2021-12-10,47.78
2021-12-09,47.59
2021-12-08,48.59
2021-12-07,48.72
2021-12-06,52.06
2021-12-03,51.41
2021-12-02,49.68
2021-12-01,49.05
2021-11-30,49.81
2021-11-29,50.82
2021-11-26,50.69
2021-11-24,51.49
2021-11-23,51.51
2021-11-22,51.14
2021-11-19,51.61
2021-11-18,52.68
2021-11-17,52.92
2021-11-16,53.06
2021-11-15,53.24
2021-11-12,53.16
2021-11-11,53.44
2021-11-10,53.78
2021-11-09,53.26
2021-11-08,53.22
2021-11-05,53.31
2021-11-04,52.13
2021-11-03,52.26
2021-11-02,51.88
2021-11-01,51.44
2021-10-29,51.12
2021-10-28,49.80
2021-10-27,52.13
2021-10-26,53.54
2021-10-25,53.65
2021-10-22,53.50
2021-10-21,53.78
2021-10-20,53.91
2021-10-19,53.49
2021-10-18,52.89
2021-10-15,53.69
2021-10-14,52.77
2021-10-13,52.11
2021-10-12,51.51
2021-10-11,52.17
2021-10-08,54.57
2021-10-07,57.28
2021-10-06,55.91
2021-10-05,56.27
2021-10-04,56.52
2021-10-01,56.08
2021-09-30,55.92
2021-09-29,54.71
2021-09-28,54.60
2021-09-27,55.75
2021-09-24,55.75
2021-09-23,55.87
2021-09-22,55.91
2021-09-21,55.75
2021-09-20,55.86
2021-09-17,56.81
2021-09-16,56.40
2021-09-15,55.50
2021-09-14,55.40
2021-09-13,59.53
2021-09-10,59.06
2021-09-09,59.43
2021-09-08,60.04
2021-09-07,60.20
2021-09-03,61.33
2021-09-02,61.28
2021-09-01,60.56
2021-08-31,59.41
2021-08-30,59.10
2021-08-27,58.96
2021-08-26,58.97
2021-08-25,59.21
2021-08-24,59.40
2021-08-23,59.00
2021-08-20,58.70
2021-08-19,58.52
2021-08-18,58.98
2021-08-17,58.81
2021-08-16,58.86
2021-08-13,58.99
2021-08-12,58.59
2021-08-11,58.47
2021-08-10,58.05
2021-08-09,58.03
2021-08-06,58.14
2021-08-05,58.02
2021-08-04,57.49
2021-08-03,57.24
2021-08-02,58.01
2021-07-30,57.91
2021-07-29,58.06
2021-07-28,57.38
2021-07-27,58.28
2021-07-26,58.00
2021-07-23,57.78
2021-07-22,56.89
2021-07-21,56.76
2021-07-20,56.52
2021-07-19,56.32
2021-07-16,57.50
2021-07-15,57.49
2021-07-14,57.61
2021-07-13,57.70
2021-07-12,57.52
2021-07-09,58.01
2021-07-08,57.41
2021-07-07,57.73
2021-07-06,56.93
2021-07-02,57.83
2021-07-01,57.02
2021-06-30,56.38
2021-06-29,56.17
2021-06-28,55.82
2021-06-25,55.90
2021-06-24,55.60
2021-06-23,54.91
2021-06-22,57.29
2021-06-21,56.86
2021-06-18,56.44
2021-06-17,56.75
2021-06-16,56.84
2021-06-15,57.22
2021-06-14,56.26
2021-06-11,56.42
2021-06-10,56.35
2021-06-09,56.22
2021-06-08,56.13
2021-06-07,56.63
2021-06-04,56.43
2021-06-03,55.85
2021-06-02,56.23
2021-06-01,56.84
2021-05-28,57.22
2021-05-27,56.79
2021-05-26,55.61
2021-05-25,55.50
2021-05-24,54.87
2021-05-21,54.92
2021-05-20,54.09
2021-05-19,53.67
2021-05-18,54.68
2021-05-17,55.11
2021-05-14,57.38
2021-05-13,56.39
2021-05-12,56.56
2021-05-11,56.95
2021-05-10,57.49
2021-05-07,56.70
2021-05-06,56.45
2021-05-05,56.26
2021-05-04,56.18
2021-05-03,56.17
2021-04-30,54.73
2021-04-29,55.28
2021-04-28,53.95
2021-04-27,54.22
2021-04-26,54.01
2021-04-23,53.97
2021-04-22,54.14
2021-04-21,53.77
2021-04-20,53.66
2021-04-19,53.91
2021-04-16,54.59
2021-04-15,53.51
2021-04-14,53.15
2021-04-13,53.26
2021-04-12,53.12
2021-04-09,52.46
2021-04-08,54.10
2021-04-07,54.24
2021-04-06,54.14
2021-04-05,54.45
2021-04-01,54.23
2021-03-31,53.97
2021-03-30,54.56
2021-03-29,54.17
2021-03-26,53.86
2021-03-25,55.43
2021-03-24,55.86
2021-03-23,56.00
2021-03-22,55.25
2021-03-19,55.27
2021-03-18,55.80
2021-03-17,56.56
2021-03-16,57.37
2021-03-15,56.53
2021-03-12,56.21
2021-03-11,56.61
2021-03-10,55.77
2021-03-09,55.11
2021-03-08,54.67
2021-03-05,53.93
2021-03-04,53.60
2021-03-03,53.64
2021-03-02,54.07
2021-03-01,52.88
2021-02-26,51.89
2021-02-25,51.95
2021-02-24,52.57
2021-02-23,52.08
2021-02-22,51.81
2021-02-19,51.77
2021-02-18,52.26
2021-02-17,52.41
2021-02-16,52.54
2021-02-12,52.95
2021-02-11,52.51
2021-02-10,52.04
2021-02-09,51.36
2021-02-08,51.02
2021-02-05,50.94
2021-02-04,50.23
2021-02-03,50.42
2021-02-02,50.07
2021-02-01,49.10
2021-01-29,49.49
2021-01-28,49.78
2021-01-27,48.32
2021-01-26,48.88
2021-01-25,48.32
2021-01-22,48.26
2021-01-21,48.24
2021-01-20,48.66
2021-01-19,48.31
2021-01-15,48.15
2021-01-14,49.44
2021-01-13,49.52
2021-01-12,49.61
2021-01-11,50.73
2021-01-08,50.31
2021-01-07,50.10
2021-01-06,49.10
2021-01-05,49.20
2021-01-04,49.62
2020-12-31,51.24
2020-12-30,51.19
2020-12-29,51.04
2020-12-28,50.53
2020-12-24,50.09
2020-12-23,49.65
2020-12-22,49.80
2020-12-21,49.48
2020-12-18,50.40
2020-12-17,51.08
2020-12-16,51.01
2020-12-15,51.30
2020-12-14,50.75
2020-12-11,50.13
2020-12-10,50.25
2020-12-09,51.15
2020-12-08,51.21
2020-12-07,51.24
2020-12-04,51.49
2020-12-03,50.68
2020-12-02,50.81
2020-12-01,50.11
2020-11-30,49.84
2020-11-27,51.31
2020-11-25,50.78
2020-11-24,49.92
2020-11-23,48.79
2020-11-20,49.10
2020-11-19,49.00
2020-11-18,49.04
2020-11-17,48.98
2020-11-16,49.25
2020-11-13,47.73
2020-11-12,47.25
2020-11-11,47.12
2020-11-10,45.95
2020-11-09,46.72
2020-11-06,43.95
2020-11-05,44.21
2020-11-04,43.40
2020-11-03,41.75
2020-11-02,40.97
2020-10-30,41.75
2020-10-29,41.89
2020-10-28,41.91
2020-10-27,43.36
2020-10-26,43.55
2020-10-23,44.60
2020-10-22,44.36
2020-10-21,43.97
2020-10-20,44.13
2020-10-19,44.20
2020-10-16,44.90
2020-10-15,44.53
2020-10-14,44.99
2020-10-13,45.38
2020-10-12,44.92
2020-10-09,44.68
2020-10-08,44.83
2020-10-07,44.26
2020-10-06,44.37
2020-10-05,45.02
2020-10-02,45.11
2020-10-01,46.17
2020-09-30,45.75
2020-09-29,46.17
2020-09-28,46.24
2020-09-25,45.22
2020-09-24,44.91
2020-09-23,45.25
2020-09-22,44.84
2020-09-21,43.41
2020-09-18,44.29
2020-09-17,45.02
2020-09-16,46.70
2020-09-15,45.05
2020-09-14,44.71
2020-09-11,43.97
2020-09-10,43.86
2020-09-09,43.71
2020-09-08,43.12
2020-09-04,43.90
2020-09-03,44.09
2020-09-02,45.01
2020-09-01,44.24
2020-08-31,44.25
2020-08-28,43.93
2020-08-27,44.24
2020-08-26,42.91
2020-08-25,43.18
2020-08-24,42.85
2020-08-21,42.72
2020-08-20,42.90
2020-08-19,43.16
2020-08-18,43.28
2020-08-17,43.30
2020-08-14,43.20
2020-08-13,42.99
2020-08-12,42.97
2020-08-11,42.92
2020-08-10,42.56
2020-08-07,42.47
2020-08-06,42.02
2020-08-05,42.25
2020-08-04,42.54
2020-08-03,42.41
2020-07-31,41.96
2020-07-30,43.12
2020-07-29,43.26
2020-07-28,42.80
2020-07-27,43.15
2020-07-24,42.71
2020-07-23,42.34
2020-07-22,42.41
2020-07-21,42.06
2020-07-20,41.76
2020-07-17,41.90
2020-07-16,41.66
2020-07-15,41.05
2020-07-14,39.83
2020-07-13,40.18
2020-07-10,39.14
2020-07-09,39.03
2020-07-08,39.52
2020-07-07,40.00
2020-07-06,39.65
2020-07-02,39.17
2020-07-01,39.40
2020-06-30,38.12
2020-06-29,38.39
2020-06-26,38.03
2020-06-25,37.77
2020-06-24,38.13
2020-06-23,38.69
