,JPY
2019-02-13,110.5020
2019-02-12,110.3480
2019-02-11,109.7770
2019-02-08,109.6540
2019-02-07,109.6040
2019-02-06,109.5590
2019-02-05,109.7870
2019-02-04,109.4730
2019-02-01,108.7500
2019-01-31,108.5000
2019-01-30,109.2260
2019-01-29,109.1410
2019-01-28,109.1640
2019-01-25,109.5350
2019-01-24,109.4270
2019-01-23,109.3650
2019-01-22,109.2800
2019-01-21,109.4820
2019-01-18,109.1430
2019-01-17,108.6890
2019-01-16,108.3710
2019-01-15,108.2070
2019-01-14,107.9980
2019-01-11,108.1540
2019-01-10,107.7730
2019-01-09,108.0640
2019-01-08,108.4500
2019-01-07,108.0360
2019-01-04,107.5130
2019-01-03,106.7760
2019-01-02,108.7300
2019-01-01,109.5900
2018-12-31,109.6590
2018-12-28,110.2220
2018-12-27,110.6530
2018-12-26,110.2860
2018-12-25,109.9910
2018-12-24,110.2670
2018-12-21,110.9390
2018-12-20,111.3310
2018-12-19,112.1330
2018-12-18,112.2500
2018-12-17,112.8770
2018-12-14,113.3190
2018-12-13,113.2870
2018-12-12,113.1600
2018-12-11,113.0060
2018-12-10,112.2490
2018-12-07,112.5630
2018-12-06,112.2400
2018-12-05,112.6830
2018-12-04,112.7200
2018-12-03,113.3730
2018-11-30,113.3380
2018-11-29,113.2010
2018-11-28,113.7100
2018-11-27,113.4060
2018-11-26,112.9040
2018-11-23,112.6640
2018-11-22,112.8800
2018-11-21,112.7020
2018-11-20,112.3000
2018-11-19,112.4490
2018-11-16,112.6790
2018-11-15,113.1010
2018-11-14,113.6550
2018-11-13,113.5920
2018-11-12,113.6600
2018-11-09,113.6560
2018-11-08,113.5510
2018-11-07,112.9500
2018-11-06,113.1080
2018-11-05,113.0750
2018-11-02,112.6610
2018-11-01,112.6420
2018-10-31,112.8280
2018-10-30,112.3070
2018-10-29,111.7900
2018-10-26,111.3850
2018-10-25,111.8250
2018-10-24,112.3310
2018-10-23,111.9620
2018-10-22,112.3520
2018-10-19,112.1990
2018-10-18,112.0900
2018-10-17,112.0180
2018-10-16,111.8130
2018-10-15,111.6230
2018-10-12,112.0070
2018-10-11,111.9870
2018-10-10,112.6050
2018-10-09,112.9400
2018-10-08,113.0020
2018-10-05,113.5640
2018-10-04,113.6620
2018-10-03,113.5180
2018-10-02,113.5280
2018-10-01,113.7380
2018-09-28,113.3300
2018-09-27,112.5700
2018-09-26,112.7700
2018-09-25,112.7400
2018-09-24,112.4440
2018-09-21,112.4640
2018-09-20,112.0600
2018-09-19,112.1900
2018-09-18,111.6670
2018-09-17,111.8570
2018-09-14,111.7540
2018-09-13,111.1720
2018-09-12,111.2190
2018-09-11,111.1510
2018-09-10,110.8750
2018-09-07,110.3950
2018-09-06,110.8470
2018-09-05,111.4050
2018-09-04,110.9170
2018-09-03,110.8510
2018-08-31,110.6860
2018-08-30,111.1360
2018-08-29,111.1290
2018-08-28,110.9400
2018-08-27,110.9440
2018-08-24,111.1410
2018-08-23,110.5520
2018-08-22,110.0300
2018-08-21,109.7760
2018-08-20,110.3100
2018-08-17,110.3230
2018-08-16,110.4720
2018-08-15,110.4360
2018-08-14,110.5980
2018-08-13,110.1150
2018-08-10,110.5180
2018-08-09,110.7100
2018-08-08,110.8400
2018-08-07,110.9990
2018-08-06,111.1670
2018-08-03,111.1000
2018-08-02,111.3300
2018-08-01,111.7000
2018-07-31,110.8590
2018-07-30,110.8940
2018-07-27,110.9050
2018-07-26,110.6030
2018-07-25,110.9050
2018-07-24,110.9760
2018-07-23,110.7790
2018-07-20,111.6460
2018-07-19,112.6540
2018-07-18,112.7200
2018-07-17,112.2350
2018-07-16,112.2510
2018-07-13,112.3690
2018-07-12,111.9860
2018-07-11,110.7740
2018-07-10,110.9240
2018-07-09,110.3600
2018-07-06,110.3840
2018-07-05,110.2950
2018-07-04,110.2820
2018-07-03,110.5100
